bde_gxtb_kcal,E_gxtb_parent,E_gxtb_fragA,E_gxtb_fragB,note,id
29.548,-2516.249701321432,-1187.769162766644,-1328.433450455828,,GBYUYYCUGKCGMM-UHFFFAOYSA-N__PJFZWEKNMMOPBD-UHFFFAOYSA-N
21.291,-2500.766021607173,-1464.139058835108,-1036.593034120729,,LCCRGBDBIIKFLY-UHFFFAOYSA-N__YJYJQZLQOKWJQQ-UHFFFAOYSA-N
50.021,-1706.235496931907,-838.920630873902,-867.235151851847,,BBRVGIOBVAFTCI-UHFFFAOYSA-N__WRFUFYRUWSYLSZ-UHFFFAOYSA-N
53.229,-4083.490300778321,-3433.611225344277,-649.794249149111,,ISBGRJXSCWCLKR-UHFFFAOYSA-N__XVNIHJYKFTZPEW-UHFFFAOYSA-N
,-1960.464915409352,,,determine_bonds_failed,BWFAWIJIGFXHRR-UHFFFAOYSA-N__FYTLIZCRSCGRJA-UHFFFAOYSA-N
,-1960.462302942174,,,determine_bonds_failed,FYTLIZCRSCGRJA-UHFFFAOYSA-N__BWFAWIJIGFXHRR-UHFFFAOYSA-N
29.785,-1473.8411327859749,-818.393818648909,-655.399848012584,,FCDVANILCMLXCN-UHFFFAOYSA-N__FHDRGCMIAFDVPY-UHFFFAOYSA-N
22.295,-3082.416672434062,-1150.675265544356,-1931.705877317003,,PRCJTVAHLADZID-UHFFFAOYSA-N__MGRDLDAATVKUCK-UHFFFAOYSA-N
52.5,-1473.840443814885,-654.180487107942,-819.576292964833,,FHDRGCMIAFDVPY-UHFFFAOYSA-N__FCDVANILCMLXCN-UHFFFAOYSA-N
63.746,-3325.122624620009,-1601.400625570525,-1723.620412878238,,IOISYPPDKDDMBC-UHFFFAOYSA-N__JWZKRDHSZBENLP-UHFFFAOYSA-N
31.532,-3325.07620532647,-1722.40115448605,-1602.62480180736,,JWZKRDHSZBENLP-UHFFFAOYSA-N__IOISYPPDKDDMBC-UHFFFAOYSA-N
45.754,-2306.081840609209,-1145.657501920721,-1160.351424894546,,OCSPTPRIYYQBHH-UHFFFAOYSA-N__JPOXTHSJXYOTRO-UHFFFAOYSA-N
53.922,-1862.36953647541,-787.589357690697,-1074.694249374694,,AUPPSLWKJYKYTE-UHFFFAOYSA-N__RGIRPKHWWNAJPQ-UHFFFAOYSA-N
42.217,-1862.3694651459232,-1073.484986828745,-788.817201776628,,RGIRPKHWWNAJPQ-UHFFFAOYSA-N__AUPPSLWKJYKYTE-UHFFFAOYSA-N
53.414,-1747.31173810718,-862.163384867969,-885.063231863963,,ISTUMGSXIPCFTR-UHFFFAOYSA-N__SHGKSTOWFQDVMB-UHFFFAOYSA-N
45.147,-1747.302205364384,-883.835685188497,-863.394573423241,,SHGKSTOWFQDVMB-UHFFFAOYSA-N__ISTUMGSXIPCFTR-UHFFFAOYSA-N
57.591,-1132.139000458195,-752.652334731352,-379.394889157722,,OYXDJBSZIBKMDX-UHFFFAOYSA-N__UPQQOGZJLNUIQV-UHFFFAOYSA-N
