bde_gxtb_kcal,E_gxtb_parent,E_gxtb_fragA,E_gxtb_fragB,note,id
31.734,-3050.057183949538,-1201.876297191118,-1848.130314773139,,BDEYISXIYLHTHA-SLBVQIDZSA-N__AKUXLHVHLSLMSF-UHFFFAOYSA-N
74.224,-1924.2774693243427,-941.43177573894,-982.7274099338,,LAYLPEQPAYIKMD-UHFFFAOYSA-N__TXRJBHJMRKCPGT-UHFFFAOYSA-N
42.098,-2891.130525570664,-1548.154175865584,-1342.909261730389,,ZGVNAFNBDRSNHW-UHFFFAOYSA-N__YWPLOINWLYTNIT-SNAWJCMRSA-N
50.276,-2164.148056071435,-1185.70290565139,-978.365030304316,,ZKDLXLXZQHAQDW-UHFFFAOYSA-N__OJXYNKDMSNXKTR-UHFFFAOYSA-N
62.065,-2164.158987675754,-977.133237891351,-1186.926842361298,,OJXYNKDMSNXKTR-UHFFFAOYSA-N__ZKDLXLXZQHAQDW-UHFFFAOYSA-N
51.07,-2460.336688625507,-1535.622518254695,-924.632784576719,,KUCKXKZANFXJIC-UHFFFAOYSA-N__OYQSWJZYMFCGQV-UHFFFAOYSA-N
36.078,-2460.333143962971,-923.433197877262,-1536.842452344305,,OYQSWJZYMFCGQV-UHFFFAOYSA-N__KUCKXKZANFXJIC-UHFFFAOYSA-N
-10.398,-2779.8974975151978,-1192.356747892743,-1587.557319511277,,FUNLRYKSFWHEJI-UHFFFAOYSA-N__IUZCOUMHKGNOMY-UHFFFAOYSA-N
9.234,-2779.902467014848,-1586.33961105191,-1193.548140395112,,IUZCOUMHKGNOMY-UHFFFAOYSA-N__FUNLRYKSFWHEJI-UHFFFAOYSA-N
,-3748.369202104211,-2322.576342720669,,gxtb_fragment_sp_failed,NKZRGPXGOOZBFH-UHFFFAOYSA-N__NSKBVJYXMDIQIF-UHFFFAOYSA-N
43.568,-3748.348192173898,-1424.507389237057,-2323.771373159556,,NSKBVJYXMDIQIF-UHFFFAOYSA-N__NKZRGPXGOOZBFH-UHFFFAOYSA-N
57.741,-2826.660711905635,-1318.690626861368,-1507.878068115728,,BIVVDLOPGBAPFO-NXCFDTQHSA-N__RTSFIEXZIAALMT-UHFFFAOYSA-N
36.86,-2826.652834839557,-1506.684293623611,-1319.909801699182,,RTSFIEXZIAALMT-UHFFFAOYSA-N__BIVVDLOPGBAPFO-NXCFDTQHSA-N
43.153,-3750.011508970334,-2738.072831907237,-1011.869908180081,,LGFRXSYXMSCJGU-UHFFFAOYSA-N__IAGMJZLCUIIDAO-UHFFFAOYSA-N
22.033,-3185.679776087086,-1729.36372727928,-1456.280937321391,,DHNOWBPNXOYPKT-UHFFFAOYSA-N__MAHPHXZAHSKLNE-RUZDIDTESA-N
52.994,-3185.7013184990874,-1455.085103695446,-1730.531763668812,,MAHPHXZAHSKLNE-RUZDIDTESA-N__DHNOWBPNXOYPKT-UHFFFAOYSA-N
41.036,-3750.0127461608613,-1010.665370041789,-2739.281980740328,,IAGMJZLCUIIDAO-UHFFFAOYSA-N__LGFRXSYXMSCJGU-UHFFFAOYSA-N
55.294,-2641.027871744422,-1376.173386563615,-1264.766368461841,,FMYJGINDGURKSA-UHFFFAOYSA-N__OQRFNWVKDUHMKS-UHFFFAOYSA-N
31.948,-2641.0163721929753,-1263.559574616077,-1377.405885756421,,OQRFNWVKDUHMKS-UHFFFAOYSA-N__FMYJGINDGURKSA-UHFFFAOYSA-N
43.95,-4527.656665578587,-2072.406988758421,-2455.179637315791,,ZRGQFEYNLUOGJZ-FUEDEBDSSA-N__AAFZMYRURFKHSW-UHFFFAOYSA-N
42.898,-4527.657695742224,-2453.960995828669,-2073.628336897641,,AAFZMYRURFKHSW-UHFFFAOYSA-N__ZRGQFEYNLUOGJZ-FUEDEBDSSA-N
24.99,-4070.3328562418924,-3254.59461321968,-815.698418306763,,QBWALVSNSOFONE-UHFFFAOYSA-N__ZUQHBXBZYFYPFC-UHFFFAOYSA-N
43.717,-4070.3315889506966,-814.467690972207,-3255.794230139335,,ZUQHBXBZYFYPFC-UHFFFAOYSA-N__QBWALVSNSOFONE-UHFFFAOYSA-N
44.02,-3071.293232618346,-1483.891215778462,-1587.331865832937,,ZKCFIKDWESAPST-UHFFFAOYSA-N__ANLIYTCSBMIRPS-UHFFFAOYSA-N
60.467,-3024.442894634076,-1740.924099263513,-1283.422434927582,,MGJFNMBUXFKMOP-UHFFFAOYSA-N__ZZOFMSCIRCZMEZ-UHFFFAOYSA-N
