reaction_type,abs_err_delta,abs_err_gxtb
aliph-aliph,3.4606247546944346,4.640870929329785
aliph-carbo,3.25367666968247,4.753392433581158
aliph-hetero,3.3119471950927797,4.565555150973955
carbo-carbo,2.9443653419707676,5.433623079547899
carbo-hetero,2.840811327248144,5.2919778734315654
hetero-hetero,2.8625960963414845,5.875818521462572
