reaction_type,abs_err_delta,abs_err_gxtb
aliph-aliph,3.0360406524289427,4.060756754609446
aliph-carbo,2.6249509345330493,3.72411310198107
aliph-hetero,2.663186422492798,3.536737538802161
carbo-carbo,2.4984154257736666,4.391255517808254
carbo-hetero,2.3312106150844016,4.606755543928752
hetero-hetero,2.2522881312536733,4.934544761007809
