,mean_abs_shap
product_mordred_WNSA3,0.0026748718908941142
acceptor_xtb_IP,0.0026631777413455545
donor_sterimol_L,0.0025276643494883755
donor_ald_mordred_PPSA5,0.002484374932241594
donor_BertzCT,0.002481783282156397
acceptor_LogP,0.002481146407673669
product_mordred_FNSA4,0.002449937792211397
acceptor_ald_mordred_Mor16,0.002433132695755104
donor_ald_mordred_RNCG,0.0024102960029206005
product_mordred_Mor13m,0.0024096340232020704
donor_ald_mordred_WNSA1,0.0024019302463409273
product_mordred_Mor02se,0.0023909434287366052
product_mordred_Mor22p,0.00238730936225625
donor_sterimol_B5,0.002353880075945831
product_mordred_Mor17m,0.0022787174058830598
acceptor_ald_mordred_Mor17,0.0022721496569360904
product_mordred_Mor05se,0.002214631127887259
donor_fukui_minus_CHO_C,0.0021447606226822733
product_HBD,0.0021324980885700237
donor_ald_mordred_WPSA1,0.0020688958051696686
donor_ald_mordred_Mor05p,0.002036392749117188
product_mordred_Mor07,0.0020032697740201867
acceptor_ald_mordred_Mor22p,0.0019902224325574133
acceptor_ald_mordred_Mor09,0.0019753390150643907
acceptor_ald_mordred_Mor30m,0.0019346871247626417
product_mordred_AMW,0.0018718941299559677
acceptor_ald_mordred_Mor27se,0.0018507500571336222
donor_FractionCSP3,0.0018342040773104736
donor_xtb_HOMO,0.0017630851045723006
donor_ald_mordred_Mor23m,0.001613872792600273
product_mordred_Mor09se,0.0015957386461371201
product_HBA,0.0015759660612086595
donor_xtb_IP,0.0015737781830961121
product_mordred_Mor27m,0.0015360712710837572
donor_NumStereocenters,0.0015340089940600972
product_mordred_Mor17v,0.0015039198441972386
acceptor_ald_mordred_Mor28v,0.0014961076626630767
product_mordred_Mor06v,0.0014954216308507003
donor_ald_mordred_Mor22m,0.0014949369913429696
donor_xtb_gap,0.0014828159257273914
acceptor_ald_mordred_Mor26p,0.0014508799882955556
acceptor_ald_mordred_Mor18m,0.0014309358204795794
product_mordred_PPSA5,0.0014124457106707274
acceptor_ald_mordred_Mor28m,0.0013840075260343433
acceptor_G_xtb,0.0013642942037413969
donor_ald_mordred_Mor25se,0.0013583688123954532
product_mordred_FPSA1,0.0013333716008965806
product_mordred_Mor25m,0.001318762435635379
product_Kappa2,0.0013086853517951383
product_mordred_Mor09m,0.0012863850979815848
donor_xtb_EA,0.0012832535331109291
donor_sterimol_B1,0.0012785005824443951
product_mordred_Vabc,0.0012771547842768136
acceptor_xtb_EA,0.0012713457496013045
donor_G_xtb,0.0012453362479952785
product_mordred_DPSA5,0.0012172965875481613
product_mordred_FNSA2,0.0011698734570787408
acceptor_ald_mordred_Mor11m,0.0011587117628012262
acceptor_ald_mordred_Mor20v,0.0011561696447939009
acceptor_ald_mordred_Mor18p,0.0011508542042429667
acceptor_ald_mordred_Mor12v,0.001125098907481807
product_mordred_Mor20p,0.0011242749172014441
donor_ald_mordred_Mor04v,0.0011153587193547271
acceptor_sterimol_L,0.0010873534699410512
donor_ald_mordred_Mor25v,0.0010188898117292262
donor_ald_mordred_Mor15p,0.0010125708561757782
product_mordred_RNCG,0.0010086867801379993
product_mordred_Mor30m,0.000993937867656242
acceptor_xtb_energy,0.0009722255636493846
product_mordred_Mor30p,0.0009596257229969055
acceptor_ald_mordred_Mor04v,0.0009595578612362891
product_mordred_FNSA3,0.000952366663521734
product_mordred_Mor22,0.0009434207346316912
product_mordred_Mor23p,0.0009388889652382086
donor_ald_mordred_Mor12v,0.0009387387382067455
acceptor_ald_mordred_Mor22se,0.0009220882854595603
donor_ald_mordred_Mor10m,0.0008677459401576388
acceptor_ald_mordred_Mor25m,0.0007596384997296503
acceptor_ald_mordred_Mor24p,0.000757457187996862
donor_ald_mordred_FPSA3,0.0007566077439140002
product_mordred_FNSA5,0.0007497031787786737
acceptor_ald_mordred_FNSA3,0.0007390565105151171
donor_ald_mordred_Mor20v,0.0007385170807027716
acceptor_ald_mordred_Mor03m,0.0007366805738652594
donor_Heteroatoms,0.0007302102884595871
product_mordred_Mor26p,0.0007222072170626477
donor_ald_mordred_Mor11v,0.0007166531619286331
acceptor_fukui_0_CHO_C,0.0007148006320350885
product_mordred_Mor02,0.0007002543240331024
donor_LogP,0.0006989121318724302
donor_ald_mordred_Mor24m,0.000641321908188601
donor_ald_mordred_WNSA4,0.0006388504800375238
sterimol_B5,0.0006268801089736478
donor_ald_mordred_Mor22se,0.000623442277454673
product_mordred_FPSA3,0.0006150458234868631
product_mordred_WNSA1,0.0006029190488599702
donor_ald_mordred_RPCS,0.0005850360345032381
xtb_LUMO,0.0005816627836375579
donor_ald_mordred_Mor16,0.0005373905455358167
xtb_IP,0.0004997151597587961
acceptor_ald_mordred_Mor21m,0.0004845074111143671
donor_ald_mordred_Mor26se,0.0004732756797863795
product_mordred_Mor16,0.00047188427655181633
donor_ald_mordred_Mor25m,0.00046546475591863803
donor_ald_mordred_RNCS,0.00046369444415370417
product_mordred_Mor18p,0.00046299198256682396
product_mordred_Mor12m,0.0004242979963377651
acceptor_ald_mordred_TPSA,0.0004211454071540959
product_mordred_Mor21m,0.00041169931085956586
product_mordred_Mor11,0.00040994249631990916
donor_ald_mordred_PNSA3,0.0003777475699525693
donor_ald_mordred_Mor17v,0.00036978008120078985
product_mordred_Mor27,0.0003599344365121746
xtb_mu,0.00035242596203509575
product_mordred_Mor05v,0.00034353246224467387
acceptor_ald_mordred_MOMI-Z,0.00034146694835873064
donor_ald_mordred_Mor30p,0.00033048429614936705
acceptor_ald_mordred_Mor30p,0.000320633116345952
donor_HBA,0.0003182720763335789
donor_ald_mordred_Mor10v,0.0003113319454817114
product_mordred_Mor06p,0.00031011150520860587
xtb_gap,0.00030426647982624127
product_mordred_Mor14,0.0002974511814202864
donor_ald_mordred_FPSA5,0.00027549711290854925
donor_ald_mordred_Mor30m,0.00026218513376498293
fukui_minus_carbC,0.0002455025578061129
product_mordred_Mor32,0.00023042164128931684
donor_ArRings,0.00021525067308422627
acceptor_ald_mordred_Mor16v,0.00021265402512618084
donor_ald_mordred_Mor11,0.00020155677508042853
product_mordred_Mor29m,0.0001969754927455646
donor_ald_mordred_Mor15se,0.00018502269601573432
acceptor_ald_mordred_Mor29v,0.00018348212855084464
acceptor_ald_mordred_Mor21se,0.00017551755963824133
acceptor_ald_mordred_Mor17m,0.00017099401740475957
donor_ald_mordred_Mor12m,0.00016697207806588043
acceptor_ald_mordred_Mor12m,0.00016594560381368075
product_FractionCSP3,0.00015280916777800254
donor_ald_mordred_bpol,0.00015143919899114887
acceptor_xtb_mu,0.00013649149484539543
donor_ald_mordred_Mor27m,0.00013297831365697356
product_mordred_Mor01m,0.000129184989887438
acceptor_ald_mordred_Mor11v,0.00012756527468483982
product_mordred_Mor24v,0.0001208737920549092
acceptor_ald_mordred_Mor05p,0.00011550362672620088
product_mordred_Mor10v,0.00010737459229539482
product_mordred_PPSA1,0.00010545656172376469
product_mordred_Mor18,9.608116660743834e-05
donor_ald_mordred_Mor27se,9.296266143558065e-05
donor_ald_mordred_Mor32m,8.551613285007268e-05
product_mordred_Mor05p,6.661835725278469e-05
mulliken_hydO,5.7763152590240935e-05
donor_ald_mordred_Mor28se,5.471768528309328e-05
dih_core,2.283473767245272e-05
product_mordred_Mor09v,0.0
product_mordred_Mor08v,0.0
product_mordred_Mor23m,0.0
product_mordred_Mor12v,0.0
product_mordred_Mor11v,0.0
product_mordred_Mor31,0.0
product_mordred_Mor13v,0.0
product_mordred_Mor14v,0.0
fukui_minus_ketC,0.0
product_mordred_Mor30,0.0
product_mordred_Mor28,0.0
product_mordred_Mor26,0.0
product_mordred_Mor07v,0.0
product_mordred_Mor07m,0.0
donor_RotBonds,0.0
product_mordred_Mor01v,0.0
product_mordred_Mor24m,0.0
product_ArRings,0.0
product_mordred_Mor26m,0.0
product_mordred_Mor28m,0.0
product_mordred_Mor16v,0.0
product_ArHetRings,0.0
product_mordred_Mor18m,0.0
product_mordred_Mor31m,0.0
product_AlRings,0.0
product_mordred_Mor32m,0.0
product_mordred_Mor16m,0.0
donor_HBD,0.0
product_mordred_Mor15m,0.0
product_mordred_Mor14m,0.0
product_n_CHO,0.0
dual_carbC,0.0
product_mordred_Mor10m,0.0
donor_MW,0.0
product_mordred_Mor08m,0.0
product_mordred_Mor22m,0.0
product_mordred_Mor05m,0.0
fukui_0_carbC,0.0
product_mordred_Mor20m,0.0
donor_ald_mordred_Mor13v,0.0
product_mordred_Mor18v,0.0
product_mordred_Mor21p,0.0
product_mordred_Mor17p,0.0
product_mordred_Mor16p,0.0
product_mordred_Mor15p,0.0
product_mordred_Mor14p,0.0
product_mordred_Mor13p,0.0
product_mordred_Mor12p,0.0
product_mordred_Mor11p,0.0
product_mordred_Mor10p,0.0
product_mordred_Mor08p,0.0
product_mordred_Mor07p,0.0
product_mordred_Mor04p,0.0
xtb_energy,0.0
product_mordred_Mor32se,0.0
product_mordred_Mor31se,0.0
xtb_HOMO,0.0
product_mordred_Mor19p,0.0
acceptor_xtb_gap,0.0
product_mordred_Mor28se,0.0
product_mordred_Mor24p,0.0
product_mordred_MW,0.0
donor_xtb_mu,0.0
donor_xtb_eta,0.0
donor_xtb_omega,0.0
donor_SASA_total,0.0
product_mordred_apol,0.0
acceptor_G_gxtb,0.0
product_mordred_MOMI-Z,0.0
product_mordred_MOMI-Y,0.0
product_mordred_MOMI-X,0.0
product_mordred_Mor32p,0.0
product_mordred_Mor29p,0.0
product_mordred_Mor28p,0.0
product_mordred_Mor27p,0.0
product_mordred_Mor25p,0.0
product_mordred_Mor29se,0.0
product_mordred_Mor27se,0.0
xtb_omega,0.0
product_mordred_Mor07se,0.0
product_mordred_Mor04se,0.0
product_mordred_Mor03se,0.0
product_mordred_Mor01se,0.0
product_mordred_Mor32v,0.0
product_mordred_Mor31v,0.0
product_mordred_Mor30v,0.0
product_mordred_Mor29v,0.0
product_mordred_Mor28v,0.0
product_mordred_Mor27v,0.0
product_mordred_Mor26v,0.0
product_mordred_Mor25v,0.0
product_mordred_Mor23v,0.0
product_mordred_Mor22v,0.0
product_mordred_Mor21v,0.0
product_mordred_Mor20v,0.0
product_mordred_Mor24,0.0
product_mordred_Mor08se,0.0
product_mordred_Mor26se,0.0
product_mordred_Mor10se,0.0
product_mordred_Mor25se,0.0
product_mordred_Mor24se,0.0
product_mordred_Mor23se,0.0
product_mordred_Mor22se,0.0
product_mordred_Mor21se,0.0
product_mordred_Mor20se,0.0
product_mordred_Mor19se,0.0
product_mordred_Mor18se,0.0
product_mordred_Mor17se,0.0
product_mordred_Mor16se,0.0
product_mordred_Mor15se,0.0
product_mordred_Mor14se,0.0
product_mordred_Mor13se,0.0
product_mordred_Mor12se,0.0
product_mordred_Mor11se,0.0
product_mordred_Mor25,0.0
acceptor_HBA,0.0
product_mordred_Mor23,0.0
acceptor_ald_mordred_GeomShapeIndex,0.0
donor_ald_mordred_Mor06m,0.0
acceptor_ald_mordred_Mor15m,0.0
acceptor_ald_mordred_Mor13m,0.0
acceptor_ald_mordred_Mor10m,0.0
donor_ald_mordred_Mor07m,0.0
donor_ald_mordred_Mor08m,0.0
acceptor_ald_mordred_Mor06m,0.0
donor_ald_mordred_Mor11m,0.0
acceptor_ald_mordred_Mor32,0.0
acceptor_ald_mordred_Mor24,0.0
donor_ald_mordred_Mor13m,0.0
acceptor_ald_mordred_Mor11,0.0
acceptor_ald_mordred_Mor10,0.0
donor_ald_mordred_Mor15m,0.0
donor_ald_mordred_Mor16m,0.0
donor_ald_mordred_Mor04m,0.0
acceptor_ald_mordred_Mor19m,0.0
acceptor_ald_mordred_Mor22m,0.0
acceptor_ald_mordred_Mor32m,0.0
acceptor_ald_mordred_Mor32v,0.0
acceptor_ald_mordred_Mor25v,0.0
acceptor_ald_mordred_Mor17v,0.0
acceptor_ald_mordred_Mor13v,0.0
acceptor_ald_mordred_Mor10v,0.0
acceptor_ald_mordred_Mor06v,0.0
acceptor_ald_mordred_Mor31m,0.0
acceptor_ald_mordred_Mor23m,0.0
donor_ald_mordred_Mor17,0.0
acceptor_ald_mordred_Mor29m,0.0
donor_ald_mordred_Mor24,0.0
acceptor_ald_mordred_Mor27m,0.0
acceptor_ald_mordred_Mor26m,0.0
donor_ald_mordred_Mor32,0.0
acceptor_ald_mordred_Mor07,0.0
donor_ald_mordred_Mor17m,0.0
donor_ald_mordred_Mor08,0.0
donor_ald_mordred_Mor21m,0.0
donor_ald_mordred_Mor18p,0.0
donor_ald_mordred_Mor09p,0.0
donor_ald_mordred_Mor08p,0.0
donor_ald_mordred_Mor30se,0.0
donor_ald_mordred_Mor29se,0.0
donor_ald_mordred_Mor23se,0.0
donor_ald_mordred_Mor21se,0.0
donor_ald_mordred_Mor20se,0.0
donor_ald_mordred_Mor19se,0.0
donor_ald_mordred_Mor14se,0.0
donor_ald_mordred_Mor13se,0.0
donor_ald_mordred_Mor06v,0.0
donor_ald_mordred_Mor32v,0.0
donor_ald_mordred_Mor29v,0.0
donor_ald_mordred_Mor28v,0.0
donor_ald_mordred_Mor22p,0.0
donor_ald_mordred_Mor23p,0.0
donor_ald_mordred_Mor24p,0.0
acceptor_ald_mordred_FPSA3,0.0
acceptor_ald_mordred_RPCS,0.0
acceptor_ald_mordred_RNCS,0.0
donor_ald_mordred_Mor26m,0.0
donor_ald_mordred_Mor28m,0.0
donor_ald_mordred_Mor29m,0.0
acceptor_ald_mordred_FPSA5,0.0
acceptor_ald_mordred_DPSA4,0.0
donor_ald_mordred_Mor26p,0.0
acceptor_ald_mordred_PNSA5,0.0
acceptor_ald_mordred_PNSA3,0.0
donor_ald_mordred_AMW,0.0
donor_ald_mordred_PBF,0.0
donor_ald_mordred_Mor31m,0.0
donor_ald_mordred_Mor31p,0.0
donor_ald_mordred_Mor09,0.0
donor_ald_mordred_Mor07,0.0
product_mordred_Mor21,0.0
product_mordred_WNSA2,0.0
acceptor_MW,0.0
product_mordred_RPSA,0.0
product_mordred_RASA,0.0
acceptor_HBD,0.0
product_mordred_TASA,0.0
donor_ald_mordred_Mor16v,0.0
product_mordred_RNCS,0.0
product_mordred_RPCG,0.0
product_mordred_WPSA5,0.0
product_mordred_WPSA4,0.0
acceptor_RotBonds,0.0
product_mordred_WPSA2,0.0
product_mordred_WPSA1,0.0
acceptor_ArRings,0.0
acceptor_ArHetRings,0.0
donor_n_CHO,0.0
product_mordred_GeomShapeIndex,0.0
product_mordred_GeomPetitjeanIndex,0.0
product_mordred_Mor10,0.0
donor_ArHetRings,0.0
product_mordred_Mor19,0.0
product_mordred_Mor17,0.0
product_mordred_Mor15,0.0
product_mordred_Mor13,0.0
product_mordred_Mor12,0.0
donor_AlRings,0.0
donor_Kappa2,0.0
product_mordred_Mor08,0.0
donor_Rings,0.0
product_mordred_Mor06,0.0
product_mordred_Mor05,0.0
product_mordred_Mor04,0.0
product_mordred_Mor03,0.0
acceptor_AlRings,0.0
acceptor_Rings,0.0
donor_ald_mordred_GeomShapeIndex,0.0
acceptor_FractionCSP3,0.0
acceptor_ald_mordred_Mor15p,0.0
acceptor_ald_mordred_Mor09p,0.0
acceptor_ald_mordred_Mor08p,0.0
acceptor_ald_mordred_Mor30se,0.0
acceptor_ald_mordred_Mor29se,0.0
acceptor_ald_mordred_Mor28se,0.0
donor_ald_mordred_TASA,0.0
acceptor_ald_mordred_Mor26se,0.0
acceptor_ald_mordred_Mor25se,0.0
acceptor_ald_mordred_Mor23se,0.0
acceptor_ald_mordred_Mor20se,0.0
acceptor_ald_mordred_Mor19se,0.0
acceptor_ald_mordred_Mor15se,0.0
acceptor_ald_mordred_Mor14se,0.0
acceptor_ald_mordred_Mor13se,0.0
acceptor_ald_mordred_Mor23p,0.0
acceptor_ald_mordred_Mor31p,0.0
acceptor_ald_mordred_PBF,0.0
product_mordred_DPSA1,0.0
acceptor_BertzCT,0.0
acceptor_Kappa2,0.0
acceptor_NumStereocenters,0.0
acceptor_n_CHO,0.0
donor_ald_mordred_PNSA5,0.0
product_mordred_DPSA2,0.0
donor_ald_mordred_FNSA3,0.0
acceptor_ald_mordred_bpol,0.0
product_mordred_PPSA4,0.0
product_mordred_PPSA2,0.0
product_mordred_PNSA4,0.0
product_mordred_PNSA3,0.0
product_mordred_PNSA2,0.0
donor_ald_mordred_WPSA3,0.0
acceptor_ald_mordred_Mor16m,0.0
