block,n_feats,MAE,RMSE,R2
2D_only,48,3.6168531578852985,6.001685602013852,0.13080583233889476
aldehydes_only,54,3.2154488266419508,5.649267275692057,0.22988680269713335
product_only,54,2.90192678211286,5.457056738836814,0.28139992241286127
donor+acceptor,102,3.214815463481414,5.650237672580663,0.2296222092202368
all_raw_blocks,140,2.440200188435579,4.991913870002191,0.39868160712598144
all+interaction,150,2.441518061734496,4.9939366484153185,0.398194186736874
mordred_only,423,2.8966016705414113,5.381719071026546,0.30110430023840684
all_raw_blocks+mordred,563,2.4002680285027918,4.9515335167040115,0.40837057276296274
