reaction_type,abs_err_ensemble,abs_err_gxtb
aliph-aliph,2.6909727052334826,4.060756754609446
aliph-carbo,2.359812405300419,3.72411310198107
aliph-hetero,2.4382880849716875,3.536737538802161
carbo-carbo,2.279499792764266,4.391255517808254
carbo-hetero,2.110682251548254,4.606755543928752
hetero-hetero,2.0388896238093754,4.934544761007809
