n,mae,mae_std,baseline_mae
200,3.0428588531601846,0.08114205829019906,3.810268620689656
400,2.9406411482674475,0.03718903692488537,3.810268620689656
600,2.890835686680611,0.06694900274538663,3.810268620689656
900,2.7894749859321144,0.08656370320208906,3.810268620689656
1200,2.7465977599902525,0.04592318546797696,3.810268620689656
1600,2.690436177147982,0.033584964501853776,3.810268620689656
2000,2.7041084339187043,0.03904565103300487,3.810268620689656
2500,2.774211608097226,0.022527788675048732,3.810268620689656
2610,2.717573426684088,0.03691885652982951,3.810268620689656
