id,donor_id,acceptor_id,pair_key,reaction_type,donor_smiles,acceptor_smiles,smiles,dG_xtb_kcal,dG_gxtb_kcal,dG_pred_correction_mean,dG_pred_correction_std,dG_pred
PMLYZFCWKNZDEK-UHFFFAOYSA-N__NERQYURLGWSXMM-UHFFFAOYSA-N,PMLYZFCWKNZDEK-UHFFFAOYSA-N,NERQYURLGWSXMM-UHFFFAOYSA-N,NERQYURLGWSXMM-UHFFFAOYSA-N__PMLYZFCWKNZDEK-UHFFFAOYSA-N,carbo-hetero,CC1=CC(=C(C=C1F)F)C2=CC=CC=C2C=O,C1=CC2=C3C(=C4C=CC=NC4=C2N=C1)N=C(N3)C5=CC=C(C=C5)OCC6=CC=C(C=C6)C=O,Cc1cc(-c2ccccc2C(=O)C(O)c2ccc(COc3ccc(-c4nc5c6cccnc6c6ncccc6c5[nH]4)cc3)cc2)c(F)cc1F,-8.8258,4.3678,2.87874859562809,0.8473273192114514,7.24654859562809
ASQSSTNZDMGNIX-UHFFFAOYSA-N__SERPDSQWFDEXHJ-UHFFFAOYSA-N,ASQSSTNZDMGNIX-UHFFFAOYSA-N,SERPDSQWFDEXHJ-UHFFFAOYSA-N,ASQSSTNZDMGNIX-UHFFFAOYSA-N__SERPDSQWFDEXHJ-UHFFFAOYSA-N,hetero-hetero,CN1CCN(CC1)C2=CC(=CC3=C2OC(=CC3=O)C=O)F,COC1=C(SC(=N1)OC)C=O,COc1nc(OC)c(C(O)C(=O)c2cc(=O)c3cc(F)cc(N4CCN(C)CC4)c3o2)s1,-6.6642,7.5351,4.329671926751349,0.8473212018697696,11.864771926751349
KJZZSRKWFNIXJM-UHFFFAOYSA-N__CLKRHJBKRXPKFO-UHFFFAOYSA-N,KJZZSRKWFNIXJM-UHFFFAOYSA-N,CLKRHJBKRXPKFO-UHFFFAOYSA-N,CLKRHJBKRXPKFO-UHFFFAOYSA-N__KJZZSRKWFNIXJM-UHFFFAOYSA-N,carbo-carbo,CS(=O)(=O)C1=CC=C(C=C1)C(=O)C(C(C=O)F)(F)F,CC(=O)SCCC=CC1=C(C=C(C=C1)C(F)(F)F)C=O,CC(=O)SCCC=Cc1ccc(C(F)(F)F)cc1C(O)C(=O)C(F)C(F)(F)C(=O)c1ccc(S(C)(=O)=O)cc1,-14.2102,2.4033,-0.308936854016608,0.8472729577447188,2.094363145983392
IEAQOAAJKKFCSN-UHFFFAOYSA-N__QIIDSEXAXRVUFY-OTYXRUKQSA-N,IEAQOAAJKKFCSN-UHFFFAOYSA-N,QIIDSEXAXRVUFY-OTYXRUKQSA-N,IEAQOAAJKKFCSN-UHFFFAOYSA-N__QIIDSEXAXRVUFY-OTYXRUKQSA-N,carbo-hetero,COC1=CC=CC(=C1)C2=CC3=C(C=C2)C(=NN3C(F)F)C=O,CC(=O)NC1=CC(=C(C=C1)F)[C@@]2(COC[C@H]2C=O)NC(=O)O,COc1cccc(-c2ccc3c(C(=O)C(O)C4COCC4(NC(=O)O)c4cc(NC(C)=O)ccc4F)nn(C(F)F)c3c2)c1,-14.3734,-2.0522,5.509361297327355,0.8471438158504826,3.457161297327355
KRPCRPKSNJPFFI-UHFFFAOYSA-N__MZDNCPACDDDKRH-UHFFFAOYSA-N,KRPCRPKSNJPFFI-UHFFFAOYSA-N,MZDNCPACDDDKRH-UHFFFAOYSA-N,KRPCRPKSNJPFFI-UHFFFAOYSA-N__MZDNCPACDDDKRH-UHFFFAOYSA-N,carbo-hetero,COC1=C(C(=C(C=C1)C2=C(C=C(C=C2)C=O)F)OC)Cl,CC1=CC=C(C=C1)OC2=C(C=C3C=C(C=CC3=N2)C)C=O,COc1ccc(-c2ccc(C(=O)C(O)c3cc4cc(C)ccc4nc3Oc3ccc(C)cc3)cc2F)c(OC)c1Cl,-8.9621,0.4899,4.775675599812149,0.8471113259888493,5.2655755998121485
NWNYQZLMYPFVHB-UHFFFAOYSA-N__CUIUBSWUFRYLSI-UHFFFAOYSA-N,NWNYQZLMYPFVHB-UHFFFAOYSA-N,CUIUBSWUFRYLSI-UHFFFAOYSA-N,CUIUBSWUFRYLSI-UHFFFAOYSA-N__NWNYQZLMYPFVHB-UHFFFAOYSA-N,hetero-hetero,CC1=C(C=CC=C1F)C2=C(C=CS2)C=O,C1=CC(=NN2C1=NC(=C2)C=O)F,Cc1c(F)cccc1-c1sccc1C(=O)C(O)c1cn2nc(F)ccc2n1,-13.7446,2.0301,0.7866643480564248,0.8470396848346017,2.8167643480564246
PMPKPUUWHRGBGK-UHFFFAOYSA-N__IYSRYNUUYIZWMU-UHFFFAOYSA-N,PMPKPUUWHRGBGK-UHFFFAOYSA-N,IYSRYNUUYIZWMU-UHFFFAOYSA-N,IYSRYNUUYIZWMU-UHFFFAOYSA-N__PMPKPUUWHRGBGK-UHFFFAOYSA-N,carbo-carbo,COC1=C(C=C(C=C1OC(F)(F)F)C(=O)O)C=O,COC1=C(C(=C(C=C1)C=O)F)C2CCCCCC2,COc1ccc(C(O)C(=O)c2cc(C(=O)O)cc(OC(F)(F)F)c2OC)c(F)c1C1CCCCCC1,-7.0566,6.6692,1.9313666434682883,0.84688288050335,8.600566643468289
SVZSTQXDDVFYGC-UHFFFAOYSA-N__RSTQZXPSKJFZNF-UHFFFAOYSA-N,SVZSTQXDDVFYGC-UHFFFAOYSA-N,RSTQZXPSKJFZNF-UHFFFAOYSA-N,RSTQZXPSKJFZNF-UHFFFAOYSA-N__SVZSTQXDDVFYGC-UHFFFAOYSA-N,carbo-carbo,C1=CC(=CC=C1CC=O)OCC(F)(F)F,CN(C)C1=CC=CC2=C1N(C3C2CN(CC3)CCCOC4=C(C=C(C=C4)F)C#N)CC=O,CN(C)c1cccc2c1N(CC(O)C(=O)Cc1ccc(OCC(F)(F)F)cc1)C1CCN(CCCOc3ccc(F)cc3C#N)CC21,-11.2485,-1.4233,-0.7752908124856376,0.8468468904076196,-2.1985908124856377
JWLCLJCQPKXJHB-UHFFFAOYSA-N__KNWRNFKKCDSYJA-UHFFFAOYSA-N,JWLCLJCQPKXJHB-UHFFFAOYSA-N,KNWRNFKKCDSYJA-UHFFFAOYSA-N,JWLCLJCQPKXJHB-UHFFFAOYSA-N__KNWRNFKKCDSYJA-UHFFFAOYSA-N,carbo-hetero,C1=CC=C(C(=C1)C2=C(N=C(C=C2)C3=CC=CC=C3OC(F)(F)F)C=O)OC(F)(F)F,COC1=CC(=C(C=C1)F)C2=C(C=C(C=C2)C=O)[N+](=O)[O-],COc1ccc(F)c(-c2ccc(C(O)C(=O)c3nc(-c4ccccc4OC(F)(F)F)ccc3-c3ccccc3OC(F)(F)F)cc2[N+](=O)[O-])c1,-13.6001,2.0191,3.3242767644784394,0.8466323563429083,5.343376764478439
ACZJGYFKGHTPQP-UHFFFAOYSA-N__DPBLBJRALIPQSA-UHFFFAOYSA-N,ACZJGYFKGHTPQP-UHFFFAOYSA-N,DPBLBJRALIPQSA-UHFFFAOYSA-N,ACZJGYFKGHTPQP-UHFFFAOYSA-N__DPBLBJRALIPQSA-UHFFFAOYSA-N,carbo-hetero,CC(C=O)NC(=O)N(C1=CC=CC=C1)F,CSC1=CC=C(C=C1)C2=NN(C=C2C=O)C3=CC(=CC=C3)Cl,CSc1ccc(-c2nn(-c3cccc(Cl)c3)cc2C(O)C(=O)C(C)NC(=O)N(F)c2ccccc2)cc1,-9.1279,3.3215,5.885404315473753,0.8465667765678806,9.206904315473754
