id,donor_id,acceptor_id,pair_key,reaction_type,donor_smiles,acceptor_smiles,smiles,dG_xtb_kcal,dG_gxtb_kcal,dG_pred_correction_mean,dG_pred_correction_std,dG_pred
KPOCYBJZPYKSCO-UHFFFAOYSA-N__LLMGFZCPEZBLPS-UHFFFAOYSA-N,KPOCYBJZPYKSCO-UHFFFAOYSA-N,LLMGFZCPEZBLPS-UHFFFAOYSA-N,KPOCYBJZPYKSCO-UHFFFAOYSA-N__LLMGFZCPEZBLPS-UHFFFAOYSA-N,carbo-hetero,C1CC2=C(C=C(C=C2)C=O)C=NC1C3=CC=C(C=C3)F,C1=CC=C(C(=C1)C(C=O)C2=CN=NC=C2)C(F)(F)F,O=C(c1ccc2c(c1)C=NC(c1ccc(F)cc1)CC2)C(O)C(c1ccnnc1)c1ccccc1C(F)(F)F,-14.39,-1.0559,0.5431254333319335,0.9871656598794588,-0.5127745666680665
CLKRHJBKRXPKFO-UHFFFAOYSA-N__KJZZSRKWFNIXJM-UHFFFAOYSA-N,CLKRHJBKRXPKFO-UHFFFAOYSA-N,KJZZSRKWFNIXJM-UHFFFAOYSA-N,CLKRHJBKRXPKFO-UHFFFAOYSA-N__KJZZSRKWFNIXJM-UHFFFAOYSA-N,carbo-carbo,CC(=O)SCCC=CC1=C(C=C(C=C1)C(F)(F)F)C=O,CS(=O)(=O)C1=CC=C(C=C1)C(=O)C(C(C=O)F)(F)F,CC(=O)SCCC=Cc1ccc(C(F)(F)F)cc1C(=O)C(O)C(F)C(F)(F)C(=O)c1ccc(S(C)(=O)=O)cc1,-14.2937,1.3692,5.593958253345311,0.9871273242146963,6.963158253345311
XVIAKNLHEOVJTL-ZETCQYMHSA-N__WJEUGWRBUQNLAS-UHFFFAOYSA-N,XVIAKNLHEOVJTL-ZETCQYMHSA-N,WJEUGWRBUQNLAS-UHFFFAOYSA-N,WJEUGWRBUQNLAS-UHFFFAOYSA-N__XVIAKNLHEOVJTL-ZETCQYMHSA-N,aliph-carbo,CS(=O)(=O)N[C@@H](CCCCN)C=O,COC1=C(C=C(C(=C1)C(C=O)F)Br)O,COc1cc(C(F)C(O)C(=O)C(CCCCN)NS(C)(=O)=O)c(Br)cc1O,-18.9522,5.3123,-0.3782246890396894,0.9869278448613746,4.93407531096031
RLEOUQVZCAPLMG-SNVBAGLBSA-N__PNZIXISEXCPEQV-UHFFFAOYSA-N,RLEOUQVZCAPLMG-SNVBAGLBSA-N,PNZIXISEXCPEQV-UHFFFAOYSA-N,PNZIXISEXCPEQV-UHFFFAOYSA-N__RLEOUQVZCAPLMG-SNVBAGLBSA-N,carbo-hetero,C1C[C@H](CN(C1)C2=CC=C(C=C2)C(F)(F)F)C=O,C1=CC=C(C=C1)COC(=O)C2=CC(=CC(=C2)C3=CC=C(S3)C=O)OC(F)(F)F,O=C(OCc1ccccc1)c1cc(OC(F)(F)F)cc(-c2ccc(C(O)C(=O)C3CCCN(c4ccc(C(F)(F)F)cc4)C3)s2)c1,-9.4904,3.3436,2.086486420343145,0.9864776056936544,5.4300864203431445
GKTCWZYRGCLDHB-UHFFFAOYSA-N__CRBCZJWQFVJITA-UHFFFAOYSA-N,GKTCWZYRGCLDHB-UHFFFAOYSA-N,CRBCZJWQFVJITA-UHFFFAOYSA-N,CRBCZJWQFVJITA-UHFFFAOYSA-N__GKTCWZYRGCLDHB-UHFFFAOYSA-N,aliph-carbo,CCC(C)(CCCF)C=O,C1=CC(=CC=C1CC=O)C(=O)F,CCC(C)(CCCF)C(=O)C(O)Cc1ccc(C(=O)F)cc1,-8.5403,5.4282,-2.5995027099179207,0.9864151582670625,2.8286972900820797
DGERVZRAOHDCEL-UHFFFAOYSA-N__OIILHWXNBKGZGO-UHFFFAOYSA-N,DGERVZRAOHDCEL-UHFFFAOYSA-N,OIILHWXNBKGZGO-UHFFFAOYSA-N,DGERVZRAOHDCEL-UHFFFAOYSA-N__OIILHWXNBKGZGO-UHFFFAOYSA-N,carbo-carbo,CC1=CC(=CC(=C1)F)C(=O)N(C)CC(=O)CC=O,CC1(CC2=C(O1)C(=C(C=C2)F)F)C=O,Cc1cc(F)cc(C(=O)N(C)CC(=O)CC(=O)C(O)C2(C)Cc3ccc(F)c(F)c3O2)c1,-14.9069,2.8601,-3.5627571255634463,0.986402922662087,-0.7026571255634462
ZOVNOCUBYWVOLX-UHFFFAOYSA-N__LQUCVGUYDARXGH-UHFFFAOYSA-N,ZOVNOCUBYWVOLX-UHFFFAOYSA-N,LQUCVGUYDARXGH-UHFFFAOYSA-N,LQUCVGUYDARXGH-UHFFFAOYSA-N__ZOVNOCUBYWVOLX-UHFFFAOYSA-N,hetero-hetero,CN1CCN(CC1)C2=NC(=C(S2)C=O)Cl,COC1=CC2=NN(C=C2C=C1CC3=C(N=C(C=C3)C(F)(F)F)C(=O)N)C4CCC(CC4)C=O,COc1cc2nn(C3CCC(C(O)C(=O)c4sc(N5CCN(C)CC5)nc4Cl)CC3)cc2cc1Cc1ccc(C(F)(F)F)nc1C(N)=O,-13.4759,-3.3487,-1.3517738095369096,0.9863516897120275,-4.700473809536909
ZBBXWPBMMNDNQU-UHFFFAOYSA-N__ADPXSQASVXLHBQ-UHFFFAOYSA-N,ZBBXWPBMMNDNQU-UHFFFAOYSA-N,ADPXSQASVXLHBQ-UHFFFAOYSA-N,ADPXSQASVXLHBQ-UHFFFAOYSA-N__ZBBXWPBMMNDNQU-UHFFFAOYSA-N,carbo-hetero,CC1=NN(C=C1C(=O)NC2=CC(=C(C(=C2)F)C=O)F)C3=CC=C(C=C3)F,C1=CC(=CC(=C1)NC2=C(C=C(C=C2)Br)C=O)C(F)(F)F,Cc1nn(-c2ccc(F)cc2)cc1C(=O)Nc1cc(F)c(C(=O)C(O)c2cc(Br)ccc2Nc2cccc(C(F)(F)F)c2)c(F)c1,-7.9102,5.2162,5.426027459863685,0.9858583903639085,10.642227459863685
NVGSPCSQFOQQPW-OAHLLOKOSA-N__XTLMVAAJQQCRBV-UHFFFAOYSA-N,NVGSPCSQFOQQPW-OAHLLOKOSA-N,XTLMVAAJQQCRBV-UHFFFAOYSA-N,NVGSPCSQFOQQPW-OAHLLOKOSA-N__XTLMVAAJQQCRBV-UHFFFAOYSA-N,carbo-hetero,C1CCC2(C1)C[C@](CCO2)(CC=O)C3=CC=CC=N3,C1=CC=C(C=C1)SC2=CC=C(C3=CC=CC=C32)C=O,O=C(CC1(c2ccccn2)CCOC2(CCCC2)C1)C(O)c1ccc(Sc2ccccc2)c2ccccc12,-8.1731,1.8729,5.530117619749798,0.9857728137312185,7.403017619749798
RASCMJKRLONZNJ-UHFFFAOYSA-N__GIXRNRSNKFRARQ-UHFFFAOYSA-N,RASCMJKRLONZNJ-UHFFFAOYSA-N,GIXRNRSNKFRARQ-UHFFFAOYSA-N,GIXRNRSNKFRARQ-UHFFFAOYSA-N__RASCMJKRLONZNJ-UHFFFAOYSA-N,hetero-hetero,CC1=CC(=CN2C1=NC(=N2)C3=CC(=CC=C3)F)C=O,C1=CC(=CC=C1N2C3=C(C=NC=C3)C(=C2Cl)C=O)F,Cc1cc(C(=O)C(O)c2c(Cl)n(-c3ccc(F)cc3)c3ccncc23)cn2nc(-c3cccc(F)c3)nc12,-8.2868,4.9546,1.1206754094536777,0.9857671810798093,6.075275409453678
