feature,mean_abs_shap,block
acceptor_ald_mordred_Mor02m,0.0004464488,acceptor
donor_Kappa2,0.00043270484,donor
donor_ald_mordred_MOMI-Z,0.0004326445,donor
acceptor_NumStereocenters,0.0004030058,acceptor
donor_MW,0.0003987873,donor
product_mordred_Mor15v,0.00038705088,product-related
acceptor_BertzCT,0.00036221262,acceptor
sterimol_B5,0.00035520378,global
acceptor_ald_mordred_Mor26p,0.0003547568,acceptor
acceptor_ald_mordred_Mor09,0.00034423557,acceptor
acceptor_ald_mordred_Mor11m,0.0003262325,acceptor
donor_xtb_energy,0.00031868432,donor
acceptor_ald_mordred_Mor08m,0.00031657916,acceptor
product_mordred_VMcGowan,0.00030100314,product-related
acceptor_ald_mordred_WPSA3,0.00029965973,acceptor
donor_ald_mordred_Mor06se,0.0002822804,donor
product_mordred_Mor17m,0.00026613538,product-related
product_mordred_Mor22,0.0002508665,product-related
acceptor_ald_mordred_TASA,0.0002458125,acceptor
product_mordred_TopoPSA(NO),0.0002438634,product-related
acceptor_ald_mordred_Mor18m,0.00024335632,acceptor
donor_ald_mordred_Mor10m,0.00021824014,donor
donor_BertzCT,0.00021146439,donor
acceptor_ald_mordred_WNSA4,0.00021111415,acceptor
product_mordred_WNSA5,0.00019823574,product-related
acceptor_ald_mordred_WNSA3,0.00019598764,acceptor
donor_FractionCSP3,0.00019084083,donor
donor_SASA_total,0.00017286759,donor
xtb_mu,0.00016342773,product-related
product_mordred_RNCG,0.00015589305,product-related
xtb_gap,0.00014433921,product-related
product_mordred_FNSA2,0.00011657425,product-related
donor_xtb_eta,0.00010715318,donor
product_LogP,9.574199e-05,product-related
donor_AlRings,7.055829e-05,donor
donor_ald_mordred_Mor05p,5.9676266e-05,donor
product_mordred_Mor05se,0.0,product-related
product_mordred_Mor06v,0.0,product-related
product_mordred_Mor20p,0.0,product-related
product_mordred_Mor19v,0.0,product-related
product_mordred_Mor17v,0.0,product-related
product_mordred_Mor30se,0.0,product-related
product_mordred_Mor02m,0.0,product-related
product_mordred_Mor11m,0.0,product-related
product_mordred_Mor29,0.0,product-related
product_mordred_Mor13m,0.0,product-related
product_mordred_Mor19m,0.0,product-related
product_mordred_Mor27m,0.0,product-related
product_mordred_Mor06m,0.0,product-related
product_mordred_Mor30m,0.0,product-related
product_mordred_Mor03v,0.0,product-related
product_mordred_Mor04v,0.0,product-related
product_mordred_Mor04m,0.0,product-related
product_mordred_Mor09,0.0,product-related
product_mordred_Mor20,0.0,product-related
acceptor_xtb_energy,0.0,acceptor
donor_xtb_omega,0.0,donor
donor_ArHetRings,0.0,donor
donor_ArRings,0.0,donor
donor_RotBonds,0.0,donor
donor_HBA,0.0,donor
donor_LogP,0.0,donor
donor_HBD,0.0,donor
product_ArHetRings,0.0,product-related
product_n_CHO,0.0,product-related
donor_ald_mordred_Mor12v,0.0,donor
donor_ald_mordred_Mor03v,0.0,donor
product_ArRings,0.0,product-related
donor_ald_mordred_Mor25v,0.0,donor
donor_ald_mordred_Mor23m,0.0,donor
donor_ald_mordred_Mor22m,0.0,donor
donor_ald_mordred_DPSA4,0.0,donor
donor_ald_mordred_RNCG,0.0,donor
product_mordred_Mor23p,0.0,product-related
product_mordred_Mor22p,0.0,product-related
acceptor_n_CHO,0.0,acceptor
acceptor_AlRings,0.0,acceptor
acceptor_Heteroatoms,0.0,acceptor
product_mordred_Mor31p,0.0,product-related
acceptor_HBA,0.0,acceptor
acceptor_ArRings,0.0,acceptor
product_mordred_Mor09p,0.0,product-related
product_mordred_Mor30p,0.0,product-related
donor_ald_mordred_Mor15p,0.0,donor
acceptor_ald_mordred_WNSA1,0.0,acceptor
donor_Heteroatoms,0.0,donor
donor_n_CHO,0.0,donor
acceptor_MW,0.0,acceptor
donor_ald_mordred_Mor25se,0.0,donor
product_MW,0.0,product-related
dih_core,0.0,product-related
fukui_minus_carbC,0.0,product-related
fukui_0_carbC,0.0,product-related
fukui_minus_ketC,0.0,product-related
acceptor_ald_mordred_Mor28m,0.0,acceptor
acceptor_ald_mordred_Mor24m,0.0,acceptor
acceptor_ald_mordred_Mor25m,0.0,acceptor
acceptor_ald_mordred_Mor07m,0.0,acceptor
acceptor_ald_mordred_Mor12v,0.0,acceptor
acceptor_ald_mordred_Mor18p,0.0,acceptor
xtb_omega,0.0,product-related
xtb_HOMO,0.0,product-related
xtb_IP,0.0,product-related
acceptor_xtb_omega,0.0,acceptor
acceptor_xtb_mu,0.0,acceptor
product_mordred_DPSA3,0.0,product-related
product_mordred_PNSA5,0.0,product-related
product_mordred_PNSA1,0.0,product-related
acceptor_ald_mordred_Mor24p,0.0,acceptor
acceptor_ald_mordred_Mor20v,0.0,acceptor
product_mordred_FNSA3,0.0,product-related
product_mordred_FNSA4,0.0,product-related
product_mordred_FNSA1,0.0,product-related
product_mordred_RPCS,0.0,product-related
product_mordred_FPSA2,0.0,product-related
product_mordred_GeomRadius,0.0,product-related
product_mordred_TPSA,0.0,product-related
product_mordred_Mor07,0.0,product-related
product_mordred_PBF,0.0,product-related
product_mordred_bpol,0.0,product-related
product_mordred_AMW,0.0,product-related
