bdfe_gxtb_kcal,id,bde_gxtb_kcal
78.501,310.0,82.379
97.242,312.0,99.666
89.903,314.0,89.415
,301.0,
92.705,318.0,92.983
48.893,297.0,42.504
87.349,315.0,85.779
92.64,323.0,91.51
79.123,320.0,79.518
82.416,317.0,77.238
82.366,331.0,79.847
46.321,324.0,37.017
89.813,334.0,97.423
94.357,333.0,92.593
95.171,332.0,93.412
91.394,302.0,90.021
90.354,321.0,94.445
48.44,342.0,41.17
93.536,330.0,79.045
89.534,340.0,95.668
45.608,343.0,41.533
89.254,338.0,94.085
,346.0,
75.644,316.0,61.929
89.491,345.0,95.256
85.981,329.0,78.829
47.271,347.0,43.603
88.932,319.0,89.318
91.39,325.0,87.051
88.422,339.0,92.937
93.26,348.0,95.95
87.564,352.0,94.606
89.875,351.0,94.659
89.139,344.0,91.777
92.065,349.0,92.752
86.997,350.0,89.447
90.646,354.0,90.697
91.006,337.0,92.907
91.33,355.0,93.789
89.493,341.0,93.42
88.758,353.0,91.512
92.871,361.0,87.896
93.131,364.0,90.71
90.119,359.0,95.796
88.477,363.0,85.174
96.213,368.0,97.698
91.567,366.0,92.82
90.582,357.0,93.25
89.639,356.0,92.111
89.126,371.0,95.531
89.169,360.0,92.556
90.695,372.0,89.704
86.305,374.0,91.308
86.578,270.0,75.109
89.668,373.0,92.514
92.204,367.0,88.107
89.546,369.0,94.064
90.661,365.0,80.761
89.948,381.0,96.232
96.405,375.0,94.873
87.937,378.0,93.021
86.298,377.0,90.875
89.245,358.0,92.444
89.037,383.0,93.054
90.057,386.0,95.771
89.123,385.0,93.739
88.077,384.0,91.552
90.491,388.0,94.632
90.788,362.0,87.953
90.502,393.0,87.057
94.716,389.0,99.218
89.679,370.0,94.149
88.602,379.0,89.25
100.723,397.0,107.036
86.774,392.0,87.13
89.659,380.0,96.336
93.743,396.0,92.064
67.864,390.0,68.855
90.2,387.0,96.534
86.345,395.0,88.901
89.285,399.0,91.666
88.247,398.0,93.798
95.672,382.0,92.76
88.342,391.0,88.801
89.051,394.0,84.106
89.767,376.0,93.427
89.733,335.0,80.204
58.825,336.0,37.943
87.598,328.0,75.477
89.098,239.0,70.118
89.455,268.0,72.76
96.339,322.0,84.863
92.058,266.0,81.967
90.023,326.0,63.586
82.684,225.0,62.733
88.38,327.0,68.126
92.185,419.0,89.899
83.592,404.0,87.098
84.623,405.0,88.314
83.233,403.0,82.95
87.865,422.0,89.888
88.28,414.0,90.401
64.304,411.0,64.346
97.498,420.0,98.244
89.577,424.0,93.278
85.583,415.0,88.557
95.643,418.0,89.863
88.459,425.0,92.566
99.038,413.0,97.838
92.551,430.0,95.03
95.108,407.0,89.31
95.712,427.0,97.83
89.497,402.0,95.04
86.215,429.0,83.888
95.871,409.0,93.252
90.238,401.0,93.669
95.954,406.0,93.981
92.832,423.0,93.876
97.11,408.0,93.06
89.445,432.0,91.098
91.173,426.0,93.34
74.992,400.0,77.625
105.948,437.0,103.206
95.075,410.0,92.424
86.006,421.0,83.58
90.864,440.0,92.706
98.285,441.0,100.445
104.217,442.0,101.516
82.075,436.0,80.182
89.311,445.0,88.595
96.388,446.0,98.517
82.95,452.0,86.436
83.551,443.0,80.417
92.477,444.0,93.578
81.891,439.0,80.972
98.301,416.0,93.559
89.133,449.0,90.673
92.163,450.0,94.765
89.88,456.0,96.801
87.905,434.0,85.954
78.299,458.0,78.098
89.234,454.0,88.802
91.087,451.0,91.183
88.526,462.0,84.774
,455.0,
83.477,463.0,84.3
92.619,461.0,92.941
90.256,448.0,89.618
91.142,438.0,91.091
95.171,431.0,90.583
86.053,472.0,90.431
95.959,428.0,94.709
90.633,464.0,90.823
95.475,457.0,97.16
96.747,469.0,98.16
90.245,471.0,92.763
88.954,479.0,94.67
89.635,433.0,85.735
91.988,473.0,94.917
78.032,460.0,77.954
91.351,468.0,90.752
86.092,477.0,90.412
95.662,417.0,92.708
97.079,412.0,92.572
85.637,466.0,82.18
95.75,435.0,93.687
92.581,480.0,96.895
97.001,475.0,96.467
87.673,474.0,87.214
93.008,481.0,89.379
90.091,491.0,97.853
86.032,488.0,90.112
89.603,476.0,89.853
91.372,487.0,88.29
90.994,492.0,89.272
91.41,495.0,91.939
92.403,459.0,92.216
90.299,482.0,89.657
95.507,470.0,96.079
91.641,497.0,87.096
86.357,485.0,79.505
89.416,478.0,93.318
90.912,499.0,92.396
,489.0,
88.939,504.0,96.262
87.487,502.0,83.397
89.826,496.0,92.188
88.518,505.0,89.881
90.325,490.0,95.016
91.443,467.0,91.604
91.277,486.0,91.464
95.469,465.0,93.797
89.401,493.0,96.44
97.719,453.0,94.563
89.074,500.0,94.181
90.178,447.0,85.893
90.145,509.0,96.075
87.25,506.0,91.596
93.217,513.0,94.946
76.718,524.0,84.83
89.379,498.0,93.844
86.202,494.0,87.565
86.883,521.0,90.324
90.694,507.0,86.563
77.154,517.0,70.297
88.791,520.0,89.343
89.63,510.0,90.339
89.589,484.0,90.326
90.962,483.0,91.48
96.348,526.0,96.593
92.863,527.0,90.906
89.467,508.0,84.562
78.584,519.0,78.991
88.916,531.0,87.158
92.86,528.0,89.536
87.157,530.0,93.174
87.33,503.0,90.79
88.985,501.0,91.023
90.456,534.0,79.161
81.15,516.0,77.388
89.994,532.0,85.026
89.855,514.0,71.382
89.111,523.0,91.359
89.469,539.0,80.474
75.643,543.0,68.443
91.621,540.0,79.466
88.538,511.0,87.651
91.011,515.0,72.254
91.258,529.0,83.2
89.202,546.0,89.806
88.843,550.0,90.683
91.529,551.0,90.001
84.52,536.0,76.592
,555.0,
89.372,544.0,78.093
89.475,545.0,85.749
92.605,560.0,82.475
90.181,554.0,87.571
94.539,553.0,90.125
88.375,535.0,90.105
92.856,559.0,82.498
87.498,562.0,85.06
95.903,565.0,95.463
91.193,525.0,81.515
83.941,569.0,80.901
95.658,564.0,91.366
92.298,567.0,89.015
89.756,561.0,86.04
95.331,522.0,82.519
87.777,570.0,85.524
95.661,568.0,90.121
96.309,566.0,93.635
94.56,556.0,90.077
94.592,558.0,90.611
91.939,579.0,91.675
88.447,537.0,81.585
96.619,563.0,95.598
88.131,573.0,76.802
91.59,533.0,65.158
91.695,576.0,86.441
89.0,542.0,79.252
93.721,575.0,88.297
90.157,582.0,86.183
87.102,574.0,73.866
92.289,587.0,96.442
74.501,549.0,60.951
94.636,584.0,92.911
92.865,581.0,85.945
88.503,577.0,79.041
79.37,578.0,75.364
94.835,557.0,86.639
83.203,580.0,77.189
88.2,538.0,81.68
90.448,598.0,89.314
93.716,597.0,98.529
91.486,589.0,84.102
92.058,585.0,77.77
91.864,592.0,82.242
89.783,596.0,93.055
92.553,571.0,83.68
87.56,599.0,88.002
93.554,591.0,84.585
93.321,586.0,81.949
,588.0,
90.65,593.0,83.43
85.332,572.0,74.75
80.387,583.0,71.786
91.178,595.0,77.049
88.029,552.0,74.869
88.501,594.0,70.86
91.93,518.0,78.678
89.23,541.0,76.655
82.451,548.0,63.2
89.185,590.0,76.17
92.252,547.0,76.588
90.654,512.0,71.402
88.043,613.0,
90.199,618.0,
82.087,604.0,
88.687,617.0,
96.887,607.0,
86.925,602.0,
80.285,603.0,
89.247,615.0,
66.29,605.0,
89.633,600.0,
92.974,624.0,
89.71,619.0,
92.21,623.0,
89.447,628.0,
90.289,609.0,
90.924,625.0,
89.481,606.0,
90.71,627.0,
86.379,637.0,
93.161,626.0,
86.814,633.0,
86.665,631.0,
84.457,634.0,
87.399,635.0,
90.227,601.0,
89.799,610.0,
89.779,621.0,
89.266,622.0,
90.171,647.0,
88.151,636.0,
89.07,632.0,
89.855,611.0,
62.138,616.0,
88.074,638.0,
89.131,641.0,
90.517,648.0,
89.184,629.0,
84.012,653.0,
92.089,640.0,
87.778,620.0,
89.026,644.0,
89.035,650.0,
88.679,649.0,
89.581,608.0,
97.11,661.0,
92.416,658.0,
89.531,660.0,
96.439,665.0,
96.312,654.0,
93.377,669.0,
89.451,646.0,
,652.0,
76.053,651.0,
88.837,659.0,
93.302,666.0,
91.346,663.0,
,630.0,
95.539,662.0,
96.04,655.0,
89.94,674.0,
91.269,678.0,
90.879,657.0,
97.073,675.0,
75.653,656.0,
91.134,664.0,
93.125,668.0,
81.121,681.0,
92.178,684.0,
93.063,676.0,
90.326,685.0,
,677.0,
80.895,683.0,
86.399,689.0,
91.816,693.0,
83.617,682.0,
83.144,690.0,
93.19,692.0,
91.311,691.0,
94.215,687.0,
89.268,679.0,
91.107,688.0,
84.617,699.0,
90.921,673.0,
87.822,696.0,
90.424,694.0,
,686.0,
88.875,708.0,
94.732,707.0,
96.585,703.0,
95.648,671.0,
93.532,698.0,
89.541,672.0,
81.828,680.0,
90.337,667.0,
89.178,639.0,
89.417,645.0,
89.299,643.0,
91.427,670.0,
89.248,614.0,
90.836,642.0,
85.868,711.0,
91.282,714.0,
91.1,713.0,
90.596,718.0,
89.851,712.0,
86.919,715.0,
90.694,720.0,
89.395,719.0,
87.386,706.0,
51.351,709.0,
88.555,710.0,
88.639,733.0,
79.528,723.0,
107.392,697.0,
87.905,716.0,
88.047,722.0,
89.488,729.0,
91.274,705.0,
89.73,726.0,
91.596,702.0,
95.49,695.0,
84.27,736.0,
97.161,740.0,
89.126,700.0,
87.721,724.0,
88.556,743.0,
89.515,732.0,
87.964,742.0,
83.599,731.0,
90.716,728.0,
87.491,730.0,
80.904,738.0,
92.246,701.0,
91.397,744.0,
,735.0,
72.486,717.0,
80.836,746.0,
90.511,745.0,
91.306,734.0,
90.517,748.0,
87.855,749.0,
91.172,752.0,
90.589,756.0,
,741.0,
92.253,747.0,
88.788,739.0,
90.326,751.0,
88.767,762.0,
90.244,750.0,
,753.0,
96.695,760.0,98.627
91.39,721.0,89.036
98.383,758.0,99.193
100.129,757.0,94.992
91.122,727.0,89.404
89.811,767.0,90.707
91.325,755.0,86.805
88.654,772.0,95.462
87.525,759.0,82.246
99.619,761.0,98.279
90.151,774.0,97.08
98.821,763.0,99.833
63.372,770.0,56.366
90.342,776.0,90.715
,765.0,
87.594,778.0,87.51
97.23,775.0,100.586
83.18,777.0,83.801
90.997,771.0,90.562
96.869,779.0,97.625
96.891,782.0,97.82
67.003,784.0,74.5
88.526,786.0,93.869
86.092,789.0,91.717
90.739,773.0,90.528
92.117,764.0,89.233
91.87,785.0,100.338
99.275,783.0,95.384
91.017,780.0,92.994
88.413,787.0,93.507
95.377,781.0,96.723
93.438,766.0,92.026
88.229,795.0,92.341
91.253,793.0,95.502
91.146,754.0,89.794
91.514,788.0,92.993
90.145,768.0,87.299
87.535,797.0,90.467
89.326,790.0,91.72
89.801,796.0,92.579
91.422,769.0,90.94
89.143,798.0,90.754
91.293,704.0,88.835
89.53,794.0,90.962
90.597,725.0,87.292
88.972,792.0,91.01
91.42,791.0,89.139
92.234,799.0,90.759
89.47,612.0,70.298
92.14,737.0,85.366
86.565,814.0,93.153
91.705,809.0,96.386
85.352,812.0,90.126
86.218,811.0,91.563
91.054,813.0,93.821
89.224,817.0,93.855
86.285,819.0,91.1
93.305,816.0,98.689
89.234,821.0,93.008
89.754,803.0,91.618
90.174,824.0,94.738
89.982,820.0,94.662
95.39,815.0,97.253
87.354,823.0,92.554
90.339,801.0,93.737
89.314,810.0,95.174
85.196,825.0,90.01
91.048,804.0,98.723
88.291,839.0,95.814
87.049,822.0,85.813
90.221,818.0,88.958
89.605,826.0,94.773
90.434,827.0,94.874
89.119,800.0,93.104
88.622,843.0,89.599
89.402,802.0,92.717
89.741,833.0,87.614
90.113,846.0,96.011
90.698,832.0,88.805
77.461,842.0,72.978
89.845,808.0,91.361
90.38,828.0,94.353
89.403,849.0,90.748
89.183,806.0,92.09
87.413,845.0,91.185
90.815,853.0,93.88
90.147,807.0,92.007
87.444,844.0,87.642
89.296,848.0,84.85
89.208,805.0,92.304
88.515,829.0,90.94
86.494,830.0,91.009
100.561,852.0,99.437
89.377,831.0,93.313
88.78,850.0,91.446
84.812,856.0,87.047
94.016,841.0,88.66
53.576,851.0,52.182
92.079,866.0,92.741
76.258,857.0,72.478
96.047,858.0,92.76
75.857,855.0,72.997
89.208,834.0,86.204
79.097,835.0,76.387
90.135,859.0,82.573
92.057,838.0,84.643
79.632,877.0,81.873
85.537,876.0,84.955
73.332,869.0,66.14
81.569,879.0,86.675
80.666,864.0,77.337
91.8,840.0,70.866
90.705,874.0,95.546
92.76,880.0,91.379
91.198,860.0,88.409
93.431,865.0,83.682
90.653,872.0,99.29
88.178,870.0,94.754
89.863,881.0,93.933
90.852,883.0,91.668
88.875,847.0,74.902
92.796,878.0,88.741
81.49,891.0,79.324
98.308,892.0,97.631
89.507,875.0,90.799
94.927,885.0,89.649
84.101,886.0,79.54
90.336,863.0,76.16
91.035,884.0,79.727
90.7,890.0,88.532
88.424,888.0,82.887
88.016,901.0,85.384
84.09,887.0,75.353
87.377,882.0,72.557
83.342,903.0,77.332
87.926,854.0,77.244
89.089,836.0,83.95
98.782,909.0,97.634
89.159,889.0,70.337
90.197,867.0,85.312
61.946,862.0,48.957
89.391,871.0,96.548
