bde_E_kcal,bdfe_xtb_kcal,bdfe_shermo_kcal,id
107.043,89.785,89.677,2
105.893,88.682,88.487,15
75.059,58.178,57.904,3
77.102,59.303,59.063,10
107.092,89.004,89.005,16
81.667,64.127,63.731,0
79.885,61.624,61.392,17
86.019,65.94,66.39,9
105.577,88.216,88.004,4
105.617,87.442,87.378,7
