ald_id,smiles,aldehyde_in_table,category,n_attempts,error_raw
121906,C[Si](C)(CC=C)C1=C(C=NC=C1)C=O,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153366/cb_24128375_1218/cb_featurize_3827977/prod_121906/conf/sp208'
121912,C1=CC=C(C=C1)C(CCC=O)SC2=CC=CC=C2,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153366/cb_24128375_1218/cb_featurize_3827977/prod_121912/conf/ff544'
121916,COC1=CC2=C(C=C1)C(=C(C=C2)C=O)/C=C/C(=O)OC,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153366/cb_24128375_1218/cb_featurize_3827977/prod_121916/conf/ff310'
121953,CC(C)(CCCCCC1=CC=CC=C1C=O)C=C,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153366/cb_24128375_1218/cb_featurize_3827977/prod_121953/conf/ff231'
122050,CC(C)(C)OC(=O)[C@H](CC=O)[C@@]12CCO[C@@H]1N(C3=CC=CC=C23)CC4=CC=CC=C4,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153367/cb_24128375_1219/cb_featurize_3826514/prod_122050/conf/ff055'
122080,C[C@H](C=O)[C@@H](C1=CC(=CC=C1)Br)NC2=CC=C(C=C2)OC,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153367/cb_24128375_1219/cb_featurize_3826514/prod_122080/conf/ff579'
122097,C1COCCN1S(=O)(=O)NC2=CC=CC=C2C=O,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153398/cb_24128375_1220/cb_featurize_2154211/prod_122097/conf/ff376'
122102,CC(=C=C(C)CC=O)CCC1=CC=CC=C1,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153398/cb_24128375_1220/cb_featurize_2154211/prod_122102/conf/ff347/input.xyz'
122110,CCC[C@H]1[C@@H](C1C=O)[N+](=O)[O-],Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153398/cb_24128375_1220/cb_featurize_2154211/prod_122110/conf/ff265'
122114,CCCCCCC(CC(=O)C)C=O,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153398/cb_24128375_1220/cb_featurize_2154211/prod_122114/conf/sp426'
122159,CCC(C(=O)OC(=O)C)OC1=C(C=C(C=C1OC)[N+](=O)[O-])C=O,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153398/cb_24128375_1220/cb_featurize_2154211/prod_122159/conf/sp430'
122183,CCN1C2=CC=CC=C2C3=C1N=C(C(=C3Cl)C=O)C4=CC=CC=C4,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153475/cb_24128375_1221/cb_featurize_2128952/prod_122183/gxtb/gxtb_sp.log'
122189,CCCC[C@@H](C[N+](=O)[O-])[C@H](CCC)C=O,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153475/cb_24128375_1221/cb_featurize_2128952/prod_122189/conf/ff269'
122192,CC1=CC=C(C=C1)C(=O)CC(C=O)C2=CC=C(C=C2)Br,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153475/cb_24128375_1221/cb_featurize_2128952/prod_122192/conf/sp016'
122197,CCCCN1C=C(C2=C1N=C(C=C2C)Cl)C=O,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153475/cb_24128375_1221/cb_featurize_2128952/prod_122197/conf/sp076'
122199,CC1=C2[C@H](C[C@H](CC2(C)C)C=O)C3=CC=CC=C13,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153475/cb_24128375_1221/cb_featurize_2128952/prod_122199/conf/ff036'
122258,C1=CC=C(C=C1)CN2C3=C(C=C(C=C3)Cl)C(=C2C4=CC=CC=C4)C=O,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153475/cb_24128375_1221/cb_featurize_2128952/prod_122258/conf/sp042'
122286,CC1=CC=C(C=C1)S(=O)(=O)N(CC#C)[C@@H](CC(C)C)C=O,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153476/cb_24128375_1222/cb_featurize_2449270/prod_122286/conf/ff451'
122291,C1=CC=C(C=C1)/C=C/C(CC=O)C[N+](=O)[O-],Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153476/cb_24128375_1222/cb_featurize_2449270/prod_122291/conf/sp471'
