E_acyl_orca_Eh,E_h_orca_Eh,id,bde_gxtb_kcal,bde_alfabet_kcal,bde_dft_kcal
-834.583052663089,-0.497326434673,181922.0,56.413,87.662895,61.7691785757016
-1228.619049124241,-0.497326434673,29569.0,79.077,90.11048,95.95134308872905
-767.948635834814,-0.497326434673,14420.0,83.859,90.617714,106.49883225581908
-870.410410273062,-0.497326434673,106350.0,87.223,90.21499,103.93530828543813
-1111.146656769907,-0.497326434673,134913.0,90.749,92.121414,103.276489750404
-1546.963601952792,-0.497326434673,203471.0,61.954,88.214195,78.02396102413745
-1231.518921520593,-0.497326434673,37946.0,79.394,90.22471,99.57772103543896
-3379.176143356965,-0.497326434673,160971.0,84.043,90.87759,100.6762918193991
-746.474031249475,-0.497326434673,97209.0,87.386,87.37118,97.91381975047676
-577.281191547438,-0.497326434673,205881.0,90.963,90.39321,95.14119847947644
-1409.371916430002,-0.497326434673,71628.0,75.046,90.24622,95.0709879014881
-3486.439085019632,-0.497326434673,73914.0,81.777,88.7576,94.77499638320748
-943.406525331024,-0.497326434673,130978.0,85.59,91.066734,102.2106850648982
-500.81942291229,-0.497326434673,11821.0,88.875,87.15827,101.74285445845594
-708.352177064908,-0.497326434673,40867.0,93.467,90.683426,106.97302150293162
-1778.851088226656,-0.497326434673,52582.0,75.573,90.14196,99.52828981256916
-1000.247777055178,-0.497326434673,194299.0,82.011,90.22349,102.15338972627674
-734.02519213461,-0.497326434673,156897.0,85.757,89.54357,100.7287692187687
-932.554874645588,-0.497326434673,164479.0,89.047,88.72453,93.38856438048296
-753.473929628023,-0.497326434673,59302.0,93.865,88.79709,105.91131913877268
-1552.588072956921,-0.497326434673,85588.0,76.042,92.64596,101.40427110947292
-1155.620266860989,-0.497326434673,124294.0,82.239,90.10473,102.67423803154335
-881.8299575602,-0.497326434673,38905.0,85.923,90.12651,104.27254650464911
-847.587560398611,-0.497326434673,201040.0,89.225,87.603645,95.1341964897025
-385.577103193724,-0.497326434673,214700.0,94.31,89.50829,94.9647820127594
-1889.864814099141,-0.497326434673,64818.0,76.488,87.71692,95.71604675661315
-685.255780544226,-0.497326434673,15027.0,82.46,92.43913,94.89417175263128
-1137.557299586696,-0.497326434673,184813.0,86.089,89.94068,98.89464269665858
-947.751566988227,-0.497326434673,139630.0,89.402,90.48559,106.0729316071931
-946.166835771668,-0.497326434673,34233.0,94.823,89.56002,108.01502522702232
