index,SMILES,PubChem_CID,cluster
256469,CC(=O)C1=CC(=C(C(=C1)OC(F)F)I)C=O,171032053,59
38074,CC(C)C1=NN=C(C(=C1C=O)C2=CC=C(C=C2)F)C3=CC=C(C=C3)F,14461248,60
65708,CC(=O)NC1=CC(=C(C=C1)C(=O)NCC(=O)N2CCC[C@H]2C=O)F,88275011,61
163666,COC1=CC(=C(C(=C1C=O)O)O)OC,12494699,62
33059,CNC(=O)/C=C/C1=CC=C(C=C1)C=O,88538962,63
18852,CC(=O)N[C@@H](CC1=CC=CC=C1)C=O,193217,64
26521,COC1=C(C=C(C(=C1)[N+](=O)[O-])C=O)[N+](=O)[O-],72942909,65
233196,C1=C(N=C(C(=C1I)C(F)F)CBr)C=O,130087150,66
171657,C1=C(N=NC1=O)CCC=O,129871401,67
14004,C1=CN=C2C(=C1C=O)N=CC=N2,42281362,68
238565,C1=CC(=C(C=C1SC(F)(F)F)CCC=O)I,134638513,69
37949,CC(C)(COC(=O)C=C)C=O,13651710,70
244179,C1=CC(=CC=C1C2=C(C=C(C=N2)C(F)(F)F)C=O)C(F)(F)F,165343259,71
14993,C1=CN2C=NC=C2C=C1C=O,83826304,72
190797,C1=CC(=C(C=C1[N+](=O)[O-])C=O)OC2=CC(=CC(=C2)F)F,62783939,73
142600,C[C@@H](C=O)NC(=O)CCC(=O)C1=CC=C(C=C1)F,174379190,74
166389,C1C2C=CC1C3C2C=CC3CC=O,85157113,75
195856,CCCOC1=CC(=C(C=C1)C=O)OCCF,79035552,76
210938,CC1CCC(N(C1)C2=CC(=CC(=C2)C=O)F)C,106529309,77
218773,C1=CC(=C(C=C1C=O)Cl)OCC2=CC(=CC(=C2)F)F,113712861,78
275616,C1CC(=O)C=CC1C=O,12794100,79
175604,C1=CC=C(C=C1)C(CC(=O)CC=O)C2=CC=CC=C2,135052732,80
203418,C1CC(C1CF)C=O,84716006,81
116246,C1CC(NC(C1N2C(C3=CC(=C(C=C3C2O)F)N4CC5C(C4)C5C=O)O)O)O,155212809,82
39349,CSC1=CC=CC(=C1C=O)F,19007532,83
278491,CN1C=CC(=C1C=O)/C(=C\OC)/C(=O)OC,14326191,84
142234,C1=CC=C(C=C1)COC2=C(C(=C(C(=C2)C=O)F)F)I,174321693,85
133284,CNCCNC1=CC(=NC=C1C#N)NC(=O)N2C3CC(C3)(C4=C2N=C(C=C4)C=O)F,169567736,86
226251,C1=C(N=CC(=N1)OC(F)(F)F)C=O,118798299,87
235238,C1=CC(=C(C=C1C#N)C=O)C(F)(F)F,130882130,88
31509,C1=CC(=C(C=C1S)C=O)[N+](=O)[O-],54341187,89
198114,CC1CCC(N(C1)C2=CC(=C(C=C2)C=O)C(F)(F)F)C,81646579,90
27953,C1=CC(=CC=C1C=O)N=O,11768628,91
272718,C1=CC=C(C=C1)CO/N=C/C2=CC(=CC=C2)C=O,11195793,92
203589,CC(C)(C)OC(=O)NCC(C)(C=O)C1=CC=CC=C1F,84730501,93
83123,C1=CC(=CC(=C1)C=O)/C=C/C2=CC=C(C=C2)F,122476199,94
166589,C1=CC(=C(C=C1C=O)N=[N+]=[N-])[N+](=O)[O-],86009304,95
33622,CCOC(=O)/C=C/C1=CC=C(N1C)C=O,122163598,96
20903,C1C2CC3CC1CC(C2)(C3)C4=CC=C(C=C4)C=O,15355855,97
178021,COC(=O)C1=CC(=C(C(=C1)I)C=O)I,154707608,98
200240,C1=CC=C(C(=C1)C(F)(F)F)N2C(=CN=N2)C=O,82363717,99
20524,CC(CSC1=CC=CC=C1)C=O,11073998,100
138777,CCOC(=O)/C=C/OC1=C(C=CC(=C1)C(F)(F)F)C=O,172392936,101
36337,CCOC1=C(C=CC(=C1)C=O)OC(=O)C(F)(F)F,39199906,102
276852,CSC1=C2C=CC=CC2=C(C3=CC=CC=C31)C=O,13375392,103
203149,CN1C=C(N=C1C=O)C2=CC=C(C=C2)F,84672147,104
239290,CCOC(=O)CC1=C(C=C(C=C1C#N)SC(F)(F)F)C=O,134653901,105
78340,COC(=O)COC1=C(C=C(C=C1)C=O)F,103850154,106
151059,CN1CC2=C(C=CC(=C2C1C=O)NC3=NC(=NC=C3)C(F)(F)F)C4CCC(CC4)O,175285069,107
192274,CN1C(=NN=N1)SC2=C(C=C(C=C2)F)C=O,63802517,108
162845,C/C=C(\C)/C[C@H](C)C=O,11228800,109
272328,C[C@@H]1CC[C@H](N1C(=O)OCC2=CC=CC=C2)C=O,11032197,110
7490,C1=C(OC(=C1)C(F)(F)F)C=O,7537665,111
194772,C1=CC(=NC(=C1)F)C2=CN=CC(=C2)C=O,71303550,112
245774,CC(C)(C)OC(=O)NC(C)(C=O)C1=C(C=C(C=C1)[N+](=O)[O-])F,165678302,113
63366,C=C1CC(C(C1)C2=CC(=CC=C2)F)C=O,87907046,114
84092,C1=CC=C(C(=C1)N=NCC=O)F,123159704,115
25286,C=CCC(CC=C)(C=O)C1=CC=C(C=C1)C(F)(F)F,176434193,116
178423,COC(=O)/C(=C/C1=CC=CC=C1C=O)/CC=C,155933373,117
213797,C1=CC(=C(C=C1F)C2=CC(=CC(=C2)F)F)C=O,108257497,118
281379,CN1CC2=CC=CC=C2CC1C=O,15933732,119
57666,C1=NC(=NC(=N1)F)C=O,87328144,120
276530,CN1C(=NC(=N1)C2=CC=CC=C2)C=O,13224143,121
152801,CC1CCC(N1C2=CC=C(C=C2)F)C=O,175609633,122
113106,C=C(COC1=CC=CC=C1C=O)CF,152544701,123
66005,C1=C(C(=C(C(=C1Br)F)Br)Br)C=O,88309299,124
9810,C/C=C/C=C/C(=O)C1=C(C=C(C(=C1)C=O)OC)O,44566277,125
221492,CC1=CC2=NC(=C(N2C=C1)C=O)C(F)(F)F,115405083,126
212696,C/C=C/COC1=C(C=C(C=C1)C=O)F,107689631,127
20893,CC(=C(C)CCC=O)C,15151927,128
174929,CC(C)(C)OC(=O)C(=C)C[C@@H](CC1=CC=CC=C1)C=O,135007208,129
220748,C1=CC2=C(C=C1F)NC3=C2NC(=C3)C=O,115007489,130
29876,C1=C2C(=C(O1)C=O)O2,20340182,131
224786,CSC1=C(C=C(C(=C1)F)CCC=O)F,117308124,132
268969,CC1=CC2=C(C=C1)NC(=C2C=O)Cl,3614179,133
233241,C1=C(N=C(C(=C1I)C(F)F)CCl)C=O,130087505,134
273602,CN1C2=CC=CC=C2C(=C1SCC(=O)O)C=O,11543325,135
178678,COC1=CC=C(C=C1)C/C(=N\O)/C=O,162405096,136
42376,C1=CC=C(C(=C1)C2=CC(=C(C=C2)C=O)F)F,23005044,137
189823,C1CC2CC1CN2C3=C(C=C(C=C3)C=O)F,61560891,138
96280,C1=C(C=C(C(=C1Cl)N2C(=CC(=N2)C=O)C(F)(F)F)Cl)Cl,139675080,139
163775,CC(=CCN1C=C(C2=CC=CC=C21)C=O)C,12689911,140
35762,C1CN(CCC1C(=O)NC2C3CC4CC(C3)CC2C4)C5=CC=C(C=C5)C=O,177663153,141
53638,C1CC2=C3C(=NC=C2F)C=CC(=O)N3C1C=O,86640630,142
42414,CC1(CC1(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F)C=O,23051258,143
220562,C1=CC(=C(C=C1Cl)OC2=CC(=CC(=C2)F)F)C=O,114844912,144
65729,CNC(CCNC1=C(C=C(C=C1)C(=O)O)F)C=O,88276637,145
199350,COC1=C(C=C(C=C1)C=O)C2=CC(=CC(=C2)F)F,82107195,146
94899,CC1CCC(C1)COC2=C(C=C(C(=C2)F)C=O)C3CC3,138699949,147
23604,C1=C(C(=CC(=C1OC(F)F)OC(F)F)[N+](=O)[O-])C=O,170915486,148
19647,COC1=C(C=CC(=C1)C=O)OCF,135068803,149
284888,C1CC(=O)N2CNCC(C[N+]2(C1NC(=O)CC3=CC=CC=C3)[O-])C(=O)NC(CC(=O)O)C=O,18465823,150
171140,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C(=C(C=C3C2)O)C=O)O,129824550,151
223594,C1=CC2=C(C=C1F)S(=O)(=O)C(=C2)CC=O,117195868,152
238539,C1=CC(=C(C(=C1Cl)C2=CC(=C(N=C2)C=O)F)Cl)Cl,134638035,153
250443,CC(=O)SCC=CC1=C(C=C(C=C1)F)C=O,169457071,154
124338,C1CCN(C1)C2=NN=C(C=C2)NC(=O)C3=CC(=C(C(=C3)F)O)C=O,163229954,155
19055,CSC1=C(C=C(C=C1)C=O)F,11275257,156
236605,C1=CC=C(C(=C1)C2=C(C=CN=C2C3=CC=CC=C3F)C=O)F,131870181,157
232296,C1=C(C(=C(N=C1C(F)F)C=O)C#N)I,130077582,158
194984,CC(C)(C)OC(=O)N1CCN(CC1)C2=C(C=C3C(=C2)N(C(=CC3=O)C=O)C4CC4)F,71552597,159
148726,C1=CC(=C(C=C1C(F)(F)F)C=O)N=O,174873175,160
217903,C1=NN=C(N1C(F)(F)F)C=O,112711985,161
251806,CC1COC(=O)N1C2=NOC3=C2C=C(C(=C3F)F)C=O,169544895,162
38142,CC1(CC1(F)F)C=O,14695228,163
78740,C1=C(C(=CC(=C1F)F)C#N)C=O,117276426,164
290662,C/C=C/OCOC1=CC=C(C=C1)C=O,19787731,165
279616,CCCC1=CC=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C=O,14987390,166
49484,C1=CC=C(C=C1)COC2=C(C=C(C=C2F)CC=O)F,59455550,167
244067,COC1=CC(=C(C(=C1F)C=O)F)SC,164894493,168
194079,CC(CC=O)(C1=CC(=CC(=C1)F)F)O,65986687,169
245885,CC(C)(C)OC(=O)NC(C=O)C1=CC(=C(C=C1F)F)F,165698869,170
214570,C1CC2CN(CC2C1)C3=C(C(=CC=C3)F)C=O,108302317,171
194381,C1=CC(=C(C=C1Br)F)N2C=C(N=N2)C=O,66216219,172
149752,C1=CC2=C(C=C1OC(F)(F)F)N=NN(C2C=O)CCCCBr,175073870,173
247861,C1=CC(=C(C=C1C=O)OC(F)(F)F)I,168442523,174
245043,CC(CCF)(C=O)C1=CC=CC=C1,165587951,175
202882,C1=C(N=CC(=N1)C(F)F)C=O,84650694,176
245740,CC(C)(C)OC(=O)NC(C=O)C1=C(C=C(C=C1)F)N(C)C,165673766,177
96596,C1=CC(=C(C(=C1OC(F)(F)F)C=O)OC(F)(F)F)OC(F)(F)F,139966058,178
186177,C1=CC(=CC=C1C=O)OCC(=O)NC2=CC(=CC(=C2)F)F,41880950,179
945,C1=C(C=C(C(=C1[N+](=O)[O-])C=O)[N+](=O)[O-])[N+](=O)[O-],69074,180
236257,CSC1=CC(=C(C=C1)C(F)(F)F)C=O,131466181,181
153390,C1=CC(=C(C(=C1)OCC2=C(C=C(C=C2)Cl)F)F)C=O,175862936,182
89383,CC1=NN(C(=C1)C=O)CC2=CC=C(C=C2)F,131584465,183
35723,C1CN(CCC1C(=O)N2CC3=CC=CC=C3C[C@@H]2CO)C4=CC=C(C=C4)C=O,177662836,184
140060,C1=C(C(=CO)C(=C(C1=CO)F)C=O)F,173437481,185
42153,C1=C(C(=C(C(=C1F)F)F)CC=O)F,22667333,186
135040,CCC1=CC(=CC2=CC(=NN21)C3=C(C=C(C=C3)C4CC4C=O)F)C(=O)N5CCC6=CC=CC=C6[C@H]5C,170110025,187
43680,C1=CC(=C(C=C1OC(F)(F)F)OC(F)(F)F)C=O,53420118,188
185701,CC1=CC(=C(N1C2=C(C=CC=C2F)F)C)C=O,28974630,189
126222,COC1=CC(=CC(=C1OC=C(F)F)OC)C=O,164932509,190
222915,CC(C)(C)OC(=O)CSC1=C(C=C(C=C1)C=O)F,116687735,191
58852,C1=CC(=C(C=C1F)F)N2C(=C(C(=N2)Cl)C=O)Cl,87406477,192
34632,COC1=CC=C(C=C1)C(=NO)C=O,139928680,193
233145,C1=C(C(=C(N=C1[N+](=O)[O-])C=O)C(F)F)I,130086716,194
186833,C1CS(=O)(=O)CCN1C2=C(C=C(C=C2)C=O)F,43581616,195
249274,C1=C(OC(=C1)C2=CC(=C(C(=C2)F)I)F)C=O,169331906,196
38887,C1=C(OC(=C1)F)C=O,18413346,197
130047,C[C@@H]1CN(C[C@@H](N1CC(C=O)C2=CC(=C(C(=C2)F)C3CC3)F)C)C4=NN=C(C=C4)Cl,167119952,198
234783,CN1C=C(N=N1)C2=CC(=C(C=C2)F)C=O,130602972,199
