index,SMILES
5951,CC1(CC2=C3C(=C(C(=C2C1)OC)C=O)CC(OC3=O)O)C
6075,CC(CCC/C=C/C(C(/C=C/C1=C(C=CC(=C1C=O)O)CC(C(C)(C)O)O)O)O)O
6089,CC1=C2C(=O)CC(OC2=CC3=C1OC(=O)C4=C(C(=C(C(=C4O3)C=O)O)Cl)C)(C)C
6090,CC1=CC2=C(C3=C1OC[C@@H]([C@H]3O)C(=C)C)C(=O)C4=C(C=CC(=C4O2)CC(C)(C)C=O)O
6151,C1OC2=C(O1)C=C(C(=C2)C=O)C3=CC=CC=C3
6189,C[C@@H]1C[C@@H]2[C@@](CC[C@]3([C@]2(CC=C4[C@]3(C=CC5=C(C(=C(C=C45)O)O)C=O)C)C)C)(CC1=O)C
6251,CC(C)C1=C(C(=C2C(=C1C=O)C=C3[C@@]2(CCCC3(C)C)C)O)O
6410,CC(=C)C1CCC2=C(C1)C(=CC(=C2)O)C=O
6442,CC(C)[C@H](C=O)[C@H]1[C@@H](CCN1C(=O)C2=COC(=N2)CN3CCCC3)NS(=O)(=O)C
6541,C1=CC(=C(C2=C1NC(=N2)SCC(=O)O)C=O)O
6547,C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)CO)N5C=NC(=C5C=O)C
6557,CCCCN(C1CCOCC1)C2=C3N(C(=CS3)C4=C(C=C(C=C4OC)C=O)OC)N=C2OC
6561,CC1=CC=C(S1)C2=CC(=C(C(=C2)OC)O)C=O
6613,COC1=CC(=CC(=C1O)C=O)C2=CC3=C(C=C2)OCC3
6663,CN1CCN(CC1)C(=O)C2=CC=C(S2)C3=CC(=C(C(=C3)OC)O)C=O
6689,COC1=C(C=C(C=C1)C2=CC3=C(C=CN=C3C=C2)NC4=CC=CC5=C4C=NN5)C=O
7074,C1[C@H]([C@H]1F)C(=O)NC2=CN3C=C(N=CC3=N2)C4=C5C=NNC5=C(C(=C4Cl)F)C=O
7490,C1=C(OC(=C1)C(F)(F)F)C=O
8523,CC1=NN=C(N1C)C=O
8602,CC(C=O)NC1=NC(=NC(=N1)N)Cl
8609,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C=O
8622,CC(=O)N[C@@H](CSC1=C(C(=O)C=C2C1=NC3=C(O2)C=CC(=C3)C=O)N)C(=O)O
8628,CC1CCC2C(C(C(CC2(C13CC4=C(C=C(C(=C4O3)C(=O)O)C=O)O)C)O)O)(C)C
8643,C1=CC(=C(C=C1N)C=O)O
8670,C(=O)C1=NNC(=O)N1
8674,C/C(=C\COC1=C2C=CC(=O)OC2=CC3=C1C=CO3)/CCC(C)(C)C=O
8714,CCCCN(C)C[C@@H]1[C@H]2CCCC[C@@H]2C[C@@H](O1)CN[C@@H](CC3=CN=CN3)C=O
8734,C[C@H]([C@@H]([C@]1(N=C(C(=O)N1CC=O)CC(C)C)O)N)O
8738,CO[C@@](C=O)([C@@H]1N=C(C(=C)CO1)C(=O)O)NC(=O)[C@H](C2=CC=C(C=C2)O)C(=O)O
8745,C1[C@H]2C([C@@H](O1)[C@@H]([C@@H](O2)O[C@H]([C@H](C=O)O)[C@H]([C@@H](CO)O)O)O)O
8804,C1=CC=C(C=C1)CCCSCC(=O)CCC2=NC(=C(S2)CCC=O)CCC3=CC=CC=C3
9041,C[C@@H]1CCC(=O)[C@@H]([C@@]1(C)/C=C/C(=C/CC2=C(C(=C(C(=C2OCC(=O)O)Cl)C)C=O)OC)/C)C
9049,CN1C2=CC=CC=C2C(=C1C=O)C#CC3=CC=CC=C3
9075,CC(C)CC(=O)C1=C(C=C(C(=C1O)C=O)O)O
9209,C1=CC=C2C(=C1)C(=CN2)C[C@@H](COC3=CN=CC(=C3)C4=CC5=C(NN=C5C=C4)C=O)N
9432,C[C@@]1(CCC[C@H]2[C@H]1CC(=O)C3=CC4=C(C=C23)C(=O)C=CC4=O)C=O
9443,CC1=CC2=C(C=C3CC[C@@H](C[C@@H]3O2)C(C)CNCC4=CC=C(C=C4)C=O)C(=O)O1
9479,CC[C@H](C)CC/C(=C/C1=C2C(=CC(=C1C)O)C3=C(C=CC(=C3N2)O)C=O)/C
9580,CC1=C(C=C(C=C1)NC2=NC=C(C(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C=O)C)Cl)S(=O)(=O)N
9649,CC1=C(C(=C(C(=C1Cl)O)C/C=C(\C)/CC/C(=C(\C)/C(C)CCCO)/C)O)C=O
9766,C[C@H]1CC[C@]2(C([C@]1(C)CC3=C(C(=CC(=C3)C=O)O)OS(=O)(=O)O)CCCC2=C)C
9805,C1=CC(=CC=C1/C=C/C2=C(C(=CC(=C2)O)O)C=O)O
9810,C/C=C/C=C/C(=O)C1=C(C=C(C(=C1)C=O)OC)O
9816,C[C@]12CC[C@H](C(C1CC=C3[C@@H]2CC[C@@]4([C@@]3(CC[C@H]4C5=CNC(=C5)C=O)C)C)(C)C)O
10310,C1=CC(=CC(=C1)C(F)(F)F)C(=O)NCC=O
10420,COC1=CC(=C(C=C1)OCC2=CC=CC(=N2)CO)C=O
10470,CCC1=C(C(=C(C(=C1O)O)C=O)COCC2=CC=CC=C2)C3=CC=CC=C3
10749,C1=C(NC(=C1)C(=O)CCC/C=C\CCCCCCCCCC/C=N\O)C=O
10811,CC(CC1=COC=C1C=O)C2=CCC(C2)(C)C
10865,CC[C@@]1(CC(=C2[C@@]3([C@H]1N(CC3)C(=O)C)C4=CC(=C(C=C4N2)OC)O)C(=O)OC)C=O
11036,C1=CC2=C(C(=C1)C(F)(F)F)N=C(C=C2C=O)C(F)(F)F
11162,C=CC(C=O)C\1(CCOC(=O)/C1=C/N)O
11205,C/C=C(\C)/[C@@H]1[C@](C2=C(O1)NC=C(C2=O)C3=CC=C(C=C3)O)(C)C=O
11323,C/C/1=C/C[C@]2(C(=CC(=O)C(=C(C3=C(C=CC=C3OC1)C=O)O)C2=O)C)CC=C(C)C
11362,C[C@@H]1CCC(=O)[C@@H]([C@@]1(C)C[C@@H](/C(=C/CC2=C(C(=C(C(=C2O)Cl)C)C=O)O)/C)OC(=O)C)C
11380,C1C[C@@H](CC[NH2+]C1)NC(=O)N2CC[C@H]([C@H]2C=O)NS(=O)(=O)[O-]
11732,CC(C)(CC(=O)C(CNCC=O)C1=CC(=O)C2=NC=CC3=C2C1=NC4=CC=CC=C34)O
11892,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)C4=CC=C(C=C4)C=O)NC2=O)C
11934,CC1=CC(=C(C(=C1CCC2(C=CC3=C(O2)C=CC(=C3)O)C)C)C=O)O
12007,C1CC(CNC1)NC(=O)C2=CC=C(S2)C3=CC4=C(C=C3)C(=C(C=C4)O)C=O
12072,CC1=C(C(=NO1)C)C2=CC3=C(C(=C2)C(=O)N)N(C4=C3C=CC(=C4)C=O)CC5CC5
12075,C1CC(C(C2C1C(=O)C(=CO2)C3=CN(N=C3)C4=CC=CC=C4)C=O)O
12116,CC1=C(SC(=N1)C2=CC3=C(C=C2)C(=C(C=C3)O)C=O)C(=O)NC4CCN(CC4)C
12140,CC1=CC(=NC(=O)C1CNC(=O)C2=C3C=NN(C3=NC(=C2)C=O)C(C)C)C
12163,CN1C=NC2=C1C(=O)N(C=N2)CC3=NC(=NO3)C4[C@H]5[C@@H]4CN(C5)C6=CC=C(C=C6)C=O
12169,COC1=CC2=C(C=C1)NC(=O)[C@@]23CC3C4CCC5C(C4)NNC5C#CC6=CC=C(C=C6)C=O
12172,C[C@H]1[C@H](C2(CCN(CC2)C3=NC=C(C4=NC=CN43)SC5=CC=CC6=C5SC=C6C=O)CO1)N
12195,CC(C)(C)C1=CC=C(C=C1)C2=CC(=CC=C2)N(C)C3=NC4=NN=CN4C5=C3C=CC(=C5)C=O
12245,C1C(OC2C=C(C=CC2C1=O)O)C(=O)OCC=O
12394,CN(C)C1=C(C2=NC3=C(C=CC(=C3C=O)N(C)C)C=C2C=C1)/C=N/N(CCCl)CCCl
12395,CN(C)C(C=O)N/N=C/C1=CC2=CC=CC=C2O1
12408,CC(C)N=CC1(C(CC[C@@]2(C1=CC[C@H]2C3=COC=C3)C)[C@]4(CCC(=O)C([C@H]4C=O)(C)C)C)C
12820,CN1C2=C(C(=O)NC1=O)N(C(=N2)Br)CC=O
12824,C=CCN\1C(=C(S/C1=N/S(=O)(=O)C2=CC=CS2)C=O)Cl
14004,C1=CN=C2C(=C1C=O)N=CC=N2
14501,C=CC1=C(C=C(C=N1)C=O)Cl
14959,CCC1=NOC=C1C=O
14993,C1=CN2C=NC=C2C=C1C=O
15222,C1[C@H]2[C@@H](CO1)ON=C2C=O
15598,C1=CC(=C(C(=C1OC(F)(F)F)C=O)Cl)Br
15705,C1=COC(=C1)CNC2=C(C(=C(C=C2C(=O)O)S(=O)(=O)N)Cl)C=O
15727,C1[C@@H](CC(=C1[C@@H](C=O)C(F)(F)F)N)C(=O)O
15737,CC1=C2CC=C(C2=CC(=C1C=O)C(C)C)CO
15988,C[C@@H]1CCC2C1CC3(C4CC2(C3(C(=C4)C(C)C)C(=O)O)C=O)CCOC(=O)C5=CC(=NN5)C(=O)O
16023,CCCCCC1CC2=C(C=CC(=C2)OC(=O)C)C3=C(C4=C(N13)C=CC(=C4)OC(=O)C)C=O
16037,C[C@H]([C@H]1[C@@H](O1)C[C@H]2CO[C@H]([C@@H]([C@@H]2O)O)C/C(=C/C3=NC=C(O3)C=O)/C)[C@H](C)O
16090,C1=CC(=CC=C1C=O)C2=C(C(=NC(=C2C#N)SC3=CC=C(C=C3)O)N)C#N
16301,C/C/1=C/CC[C@]2([C@@H](CC[C@@H]2[C@H](C)CCCC(C)C)C3=C(C=C(C[C@H](CC1)O)C=C3)C=O)C
16310,CC1=C(N=C(C2=C1C3=CC=CC=C3N2)C4=NC5=C(C=C4)C(=O)C=C(C5=O)N)C=O
16358,C[C@]12CCC3C(C1CC[C@]2(C#C)O)CC[C@@H]4[C@@]3(CC5=C(C4)OC(=C5)C=O)C
16384,C1=CC(=CC=C1C=O)C(=O)OCCCCC2=CNC(=S)NC2=O
16388,C1=CC=C(C=C1)CCC[C@@H]2[C@H](N(C2=O)C3=CC=C(C=C3)O)C4=CC=C(C=C4)C=O
16572,C1CCC(CC1)COC2=CC=CC3=C2C(=O)/C(=C/C4=CC=C(C=C4)C=O)/O3
16720,CC1(C(CC2=C(O1)C(=CC3=C2NC4=CC(=C(C=C43)Br)OC)C=O)Br)C
16757,C1OC2=C(O1)C=C(C=C2)C3=CC4=C(O3)C=CC(=C4)CCCOC(=O)CCCCCCCC=O
16792,C1=CC=C(C=C1)C2=NC(C(=O)N(C3=CC=CC=C32)CC=O)NC(=O)CCC4=CNC5=CC=CC=C54
16815,C1CCC2=C(C1)C3=C(S2)N=CN(C3=O)C4=CC=CC(=C4)C=O
16844,CN(C)CCOC1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC5=C(C=C4)C(=CS5)C=O
16905,C1COC(C2=NOC(=C21)C=O)C3=CC=CC=C3Cl
16916,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@H]4[C@]([C@@]3(CC2)C)(CC[C@@H]5[C@@]4(CC6=C(C5(C)C)ON=C6)C)C)C=O
16938,CC1=NN=C(S1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)CN4C=CC=C4C=O)SC2)C(=O)O
16968,CC(C)CCO[C@@H]1C=CC(=O)[C@H](O1)CN2C=C(N=N2)CCCC=O
16980,CC1(C=CC2=C(O1)C=CC3=C2OC=C(C3=O)C4=CC=C(C=C4)C=O)C
17019,C1=CC(=CC=C1C2=CC(=C(N=C2)Cl)CN3C=C(N=N3)C=O)F
17084,CS(=O)C1=C(C=C(C=C1)C(CC2CCCC2)C3=C(C4=C(N3)N=CC=C4)C=O)Cl
17165,CC1=CC(=O)OC2=C1C=CC3=C(C(=CC(=C32)C=O)C=NCCC4CNCCO4)O
17169,C1=CC=C2C(=C1)C(=O)NC(=N2)/C=C/C3=CC=C(C=C3)C=O
17203,C[C@@]12CC[C@H]([C@@]([C@H]1CC[C@]3([C@H]2/C=C/C4=[N+](C=C(C=C4)C5=CC(=CC=C5)F)[O-])CO3)(C)C=O)O
17317,CC(C=O)N(CCO)C1=NC(=NC2=C1C[C@H]3N2CCOC3)C4=CN=C(N=C4)N
17334,C/C(=C\CC12C(=O)C3CC(C14C5(C3O5)C(=O)C6=C(C=CC=C6O4)O)CO2)/CC=O
17373,CC1(C=CC2=C(O1)C(=CC3=C2N(C4=C3C=C(C=C4)C(C)(C)C)CC5=CC=CC=C5)C=O)C
17424,C1=CC2=C(C=CN=C2C=C1C3=CC(=CC(=C3)C=O)C(=O)N)NC4=CC5=C(C=C4)SC=N5
17431,CN(C)C1=CC=C(C=C1)/C=C\2/C(=O)N(C(=S)S2)C3=CC=C(C=C3)C=O
17437,CC(=O)OC1=C(C=C(C2=C1[C@@]34CCN([C@@H](C2)[C@H]3C=C(C(=O)C4)OC)C)C=O)OC
17444,CC1=C(C(CCC1)(C)C)/C=C/C(C)N2CCC3=C(C2)C=CC(=C3)C=O
17505,CC1=C2C(=C(N1)C=O)CC3C4(CCN3C2=O)C5=CC=CC=C5NC4=O
17559,C[C@@]12CC3=C([C@@](C1CCC(=C)[C@H]2/C=C/C4=CCOC4=O)(C)C=O)N=C(S3)N
17588,CN1C(=CC(=N1)C2C3=C(N=CN=C3N(N2)C4CCCN(C4)C(=O)CC#N)N)C=O
17596,C[C@H]1CC[C@@H](C2=C1C(=C(C(=C2C3=C(C(=O)C=C(C3=O)O)O)C=O)O)O)C(C)C
17615,C/C=C\1/CN2[C@@H]3C[C@@]45C6=CC=CC=C6N[C@@]4([C@@]2(C[C@@H]1[C@@]5(C=O)OC(=O)C)OC)O3
17717,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC(=C3)C#C)C=O)OCCOC
17751,CC(C)C1=C(C=CC2=C1CC[C@@H]3[C@@]2(CCCC3(C)C)C)OCC4=CN(N=N4)C5=CC=C(C=C5)C=O
17753,CC1=CC(=NC=C1NC2=NC=C3C(=N2)N(C(=O)N3C)C4CCOCC4)C5=COC(=C5)C=O
17791,CC1C(CC(C2=C1N(C=C2C=O)C)N3C=NC4=C3N=CNC4=O)O
17805,C(COCC=O)NC1=NSNC1=O
17819,C1CN(CCN1CCOCC=O)C2=NC3=CC=CC=C3S(=O)C4=CC=CC=C42
