index,SMILES,PubChem_CID,dG_xtb_kcal,dG_orca_kcal,cls
212916,CC(C)(COC1=C(C=C(C=C1)F)C=O)C(=O)O,107697342,-9.1784,2.1406,aromatic_carbo
37599,C1=CC(=CC(=C1)C=O)C=C(F)F,11593499,-11.2483,2.4407,aromatic_carbo
163630,CC(=O)OC1=C(NC(=C1)C2=CC=CC=C2)C=O,12407967,-8.9522,2.67,aromatic_hetero
242371,CC1=C(C=CC(=C1)F)C2=C(NC(=N2)C=O)Br,156027551,-16.5723,2.9037,aromatic_hetero
265575,CN(C)C1=CC=C(C=C1)/C=C/C2=C3C(=C(S2)C4=C5C(=C(S4)C=O)OCCO5)OCCO3,12965119,-10.4223,3.1919,aromatic_hetero
1390,C/C=C/C1=CC2=C(C3=C(C(=C(C(=C3C(O2)OC(C)C)C=O)OC)O)O)C(=O)O1,16737295,-2.3793,3.4938,aromatic_carbo
287044,C1=CC(=C(C=C1N)C2=CC(=CO2)C=O)N(CCO)CCO,18798960,-6.6929,3.8125,aromatic_hetero
945,C1=C(C=C(C(=C1[N+](=O)[O-])C=O)[N+](=O)[O-])[N+](=O)[O-],69074,-16.0332,3.9691,aromatic_carbo
142234,C1=CC=C(C=C1)COC2=C(C(=C(C(=C2)C=O)F)F)I,174321693,-10.6337,4.3328,aromatic_carbo
211291,COCCSC1=CC(=CC(=C1)F)C=O,106533621,-11.0806,4.5337,aromatic_carbo
27686,C1=CC=C2C(=C1)C(=CN2O)C=O,11182778,-6.2712,4.765,aromatic_hetero
81227,CC(C)OC1=C(C=C(C=C1N2CC3=CN(N=C3C2)C4=CC(=C(C=C4)F)F)S(=O)(=O)C)C=O,118472568,-10.0247,4.9336,aromatic_carbo
135107,CCC1C(N(C(=O)C1F)CO)COC2=NC=CC3=C2N4C=CN=C4C(=C3)C=O,170134066,-10.519,5.2084,aromatic_hetero
32499,CCC1=CC=CC(=C1CNC2=CC(=NC3=C2NC(=C3C=O)C)C(=O)N(C)C)C,86616848,0.413,5.4514,aromatic_hetero
134987,CCCC(CCN(CCNC)C1=C(OC2=C1C=C(C=C2)C(F)(F)F)C=O)CCO,170095066,-4.225,5.7198,aromatic_hetero
6613,COC1=CC(=CC(=C1O)C=O)C2=CC3=C(C=C2)OCC3,59599813,-7.5735,5.9806,aromatic_carbo
194984,CC(C)(C)OC(=O)N1CCN(CC1)C2=C(C=C3C(=C2)N(C(=CC3=O)C=O)C4CC4)F,71552597,-7.778,6.2797,aromatic_hetero
172601,C[C@@H]1C2=C(C=CC(=C2[C@H](OC1=O)OC)C=O)C3(CCC(CC3)(C)C)C,134833857,-3.74,6.521,aromatic_carbo
153840,C1COC2=C1C(=C(C=C2)F)CNC3=NC=C(C4=NC=CN43)C5=CC(=C(C(=C5)F)C=O)F,175976277,-7.7279,6.8852,aromatic_carbo
277834,C1=CC=C2C=C3C(=CC2=C1)C(=O)C(=CO3)C=O,13874546,-13.8947,7.1682,aromatic_hetero
124801,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C=O)C3=CCC(C=C3)F,163410907,-5.5037,7.5423,aromatic_carbo
134489,CC1=CC(=C(C=C1)NC2=C(C=C(C3=CN=CN32)CC4=C(C(=NC=C4)NSNC)F)C=O)F,169946915,1.4549,7.7739,aromatic_hetero
158338,CC1(CC1)NS(=O)(=O)C2=CN3C(=C(N=C3C4=NN=C(S4)C(F)F)C=O)C(=C2)CC(=O)O,178165149,-7.86,8.1762,aromatic_hetero
252135,C1=CC(=C(C(=C1)C=O)F)C=CCCS,170478209,-6.2035,8.5887,aromatic_carbo
243213,CC1=C(C(OCC1(F)F)C2=C(SC(=C2)C=O)C)/C=C\C=C,162574625,-8.6061,9.0138,aromatic_hetero
161612,C1C2=C(N(C=C2[C@@H]3[C@H](O[C@]1(O3)CO)[C@@H](CO)O)CCCC(=O)O)C=O,71681275,5.7597,9.3344,aromatic_hetero
138474,CC(C)C1=C(C=C(C(=C1)C=O)NSC)F,172289813,-4.2289,9.7077,aromatic_carbo
153828,CC1=NN=C(C=C1)NC2=CN3C(=C(C=N3)C4=CC(=C(C=C4)C=O)N5C(=CC(=N5)C(F)F)C)N=C2,175970495,-7.2177,10.2235,aromatic_carbo
281174,CC1([C@@H]([C@H](C2=C(O1)C=CC(=C2)C=O)N3CCSC3=NC#N)O)C,15734826,-9.6028,10.7269,aromatic_carbo
133299,CCC1=C(C=CC(=C1)NC2=NC=CN3C2=NC=C3/C(=C/C=C(\CF)/OC)/C(=C)F)C=O,169568414,-1.5491,11.3935,aromatic_carbo
153913,C1CN2C(=C(C(=N2)CF)C=O)N(C1CF)CF,175994229,0.6354,12.0665,aromatic_hetero
134587,CC(C)(C1=CC=C(C=C1)NC2=C(C=C(C=C2)C=O)C3=NN=C(O3)C4CC4)F,169985683,-4.0924,12.8644,aromatic_carbo
134363,CCC1CC(N(C1)C2=C(C=CC(=N2)N/C=C\C(NC)OCCC3(CC3)C(F)(F)F)C=O)(C)C,169897929,10.7355,14.0871,aromatic_hetero
89415,CC(C)(C)C1=CC=CC(=C1)CN2[C@H]3CS(=O)(=O)C[C@H]([C@@H]3OC2=O)CC4=CC(=C(C(=C4)F)N)C=O,131729366,-0.5555,15.5889,aromatic_carbo
103826,C1=CC(=CC=C1CNC(=O)C2=C(C(=C3C=C(C=NC3=C2O)Br)N)C=O)F,143584203,-2.8586,17.3382,aromatic_carbo
290173,CC(C)CCC1=C(N(C(=O)N1CC2=C(C(=CC=C2)C3=CC=CC=C3)C(=O)O)CC(C)C)C=O,19741457,9.4168,20.176,aromatic_hetero
84159,C1CCC2=C(C1)COC3=C(C(=CN=C3C(CN4C2=CC=N4)(F)F)O)C=O,123190209,45.9143,71.8963,aromatic_hetero
