index,SMILES,PubChem_CID,sel_method
219659,C1CC1CN(CC2CC2)C3=C(C(=CC=C3)F)C=O,114065140,representative
28352,C1CSC(S1)C2=CC=C(C=C2)C=O,12673321,representative
257329,C1=CC(=C(C=C1C=O)C(C(CCN)O)O)F,171881165,representative
136506,C1COCC=C1C2=NC=C3C=C(C=C(C3=N2)F)C=O,170708532,representative
180028,C1=CC(=CC=C1C=O)C2C3=C(C=C(C=C3)O)OC(=C2C#N)N,176424190,representative
213378,C1=CC(=C(C(=C1)Cl)C=O)OCC2=CC(=C(C=C2)Cl)F,107881571,representative
234979,CN1C=CN=C1C2=CC=CC(=C2F)C=O,130781337,representative
35297,C1=CC(=CC=C1C=O)C2=NC(=CN=C2N)C3=CC=C(C=C3)F,126469475,representative
70616,CC(C1=C(C=C(C(=C1)N)C=O)I)F,89102958,representative
263788,C1=CC=C(C=C1)NC(=O)COC2=C(C=C(C=C2)Br)C=O,819637,representative
252135,C1=CC(=C(C(=C1)C=O)F)C=CCCS,170478209,representative
259238,CC(C)OC1=C(C=CC(=C1)C2=CC=CC=C2C=O)OC(F)(F)F,176452319,representative
99223,C1=CC(=CC(=C1)C(F)(F)F)C2=CC3=C(O2)C=CC(=C3)C=O,141495075,representative
49857,CC1=C(C=CC(=C1)C=O)OC2=C(C=C(C=C2)C(=O)N)F,59729931,representative
208580,CC1=C(C=C(C=C1)C=O)C2=CC(=C(C=C2)C)F,105408221,representative
215595,CC1=NC2=C(C=CC=C2OC3=C(C=CC=C3F)C=O)C=C1,108318982,representative
110298,CCOC1=C(C(=C(C=C1N)OC2=C(C=C(C(=C2)C=O)O)N)F)F,145825631,representative
182911,COC1=CC(=C(C=C1)OCC(=O)N(CC2=CC=C(C=C2)F)C3CCCCC3)C=O,9199669,representative
9075,CC(C)CC(=O)C1=C(C=C(C(=C1O)C=O)O)O,16728390,representative
6663,CN1CCN(CC1)C(=O)C2=CC=C(S2)C3=CC(=C(C(=C3)OC)O)C=O,59599932,representative
191084,C1CN(CC1C2=CC=CC=C2)C3=C(C=C(C=C3F)C=O)F,63050549,representative
6613,COC1=CC(=CC(=C1O)C=O)C2=CC3=C(C=C2)OCC3,59599813,representative
97557,CC1=C(C=CC(=C1C(=O)C2C=CC=CC2(N)F)C=O)F,140580494,representative
162180,C1=CC(=CC(=C1)OS(=O)(=O)C2=CC=C(C=C2)Br)C=O,2176374,representative
54715,C[C@@H]1CN(C[C@H](O1)C)C2=C(C3=C(C=C2C=O)C(=NO3)C4=NC(=NC=C4)SC)F,86717867,representative
157680,CN1C=C2C3=C(C=C(C(=C3)CN(C)CCCN)C=O)N(CC4=CNC(=C42)C1=O)C5=C(C=C(C=N5)F)F,178028760,representative
71511,C[C@@](CN1CCN([C@@H](C1)C2=CC=C(C=C2)F)C3=C(C=C(C=C3)OC)C=O)(C4=CC(=NC=C4)CO)O,89213455,representative
20976,C=CC1=CC=C(C=C1)COC2=CC(=C(C=C2)C=O)O,22613366,representative
75244,C[C@@H]1CN(C[C@H](O1)C)C2=C(C3=C(C=C2C=O)C(=NO3)N4[C@H]([C@H](OC4=O)C)CF)F,90284475,representative
246971,C1=CC(=C(C=C1F)C=O)S(=O)(=O)Cl,165946040,representative
191202,CC(C)CN1CCN(CC1)C2=C(C=C(C=C2F)C=O)F,63051571,representative
221178,C1CSCCC1C(C2=CC=CC(=C2)C=O)F,115042692,representative
195070,C1CC(CN(C1)C2=C(C=CC=C2F)C=O)(F)F,71651833,representative
251119,COC(=O)C#CC1=C(C=CC=C1F)C=O,169522150,representative
96591,C1=C(C(=CC(=C1OC(F)(F)F)OC(F)(F)F)OC(F)(F)F)C=O,139965830,representative
212516,C1=CC(=C(C=C1C=O)F)OC(C(=O)O)(F)F,107685174,representative
291008,CC(CC1=CC=C(C=C1)C=O)C(=O)O,19825251,representative
154094,C[C@H](C1=CC=CC=C1)C(=O)NC2=CC(=C(C=C2)C=O)OC(F)F,176061199,representative
189086,C1COC(CN1C(=O)COC2=CC=CC=C2C=O)C3=CC(=C(C=C3)F)F,60230157,representative
162395,CC(C)(C)C1=NC2=CC=CC(=C2S1)C=O,10656509,representative
260395,CC1=CC(=CN=C1)C2=C(C=C(C(=C2)C=O)OC)F,177821196,representative
25904,CC12CCCCC1CC3=C(C(=C(C(=C3O2)C(=O)C4=CC=CC=C4)O)C=O)O,177654952,representative
258968,CC1=CC=C(C=C1)C2=C(C(=CC=C2)OC(F)(F)F)C=O,172993981,representative
187549,C1=CC(=CC(=C1)C(F)(F)F)C2=NOC(=N2)COC3=CC=C(C=C3)C=O,52550564,representative
236274,COC(=O)C1=C(C(=C(C=C1)F)C#N)C=O,131475038,representative
23803,COC1=CC2=C(C=C1)N=C(N2C3=CC=C(C=C3)C=O)Cl,155923735,representative
264928,CC(C)(C)OC(=O)N/C(=C\C1=CC=C(C=C1)OC2=C(C=CC(=C2)C=O)OC)/C(=O)OC,10971986,representative
39506,COC1=C(C=C(C=C1)OC2=CC=C(C=C2)F)C=O,19422170,representative
217485,CCN1C(=NC=N1)COC2=C(C=CC=C2F)C=O,112611571,representative
219160,CC1=C(C=C(C=C1)C=O)OC2=C(C(=CC(=C2)Br)F)F,113917490,representative
20123,COC1=CC(=CC(=C1O)CC2=CC=C(C=C2)O)C=O,91608267,representative
227301,C1=C(C=C(C(=C1C(F)(F)F)C=O)F)N,118822402,representative
75063,C1=CC(=CC=C1CCCCCSC2=C(C=C(C=C2)C=O)OC(F)(F)F)Cl,90218224,representative
15598,C1=CC(=C(C(=C1OC(F)(F)F)C=O)Cl)Br,168228998,representative
260043,C1=C(C=C(C(=C1C=O)N)F)C(=O)O,177788613,representative
29235,CC1=CC(=C(C(=C1)C=O)O)CN(CC2=CC=CC=N2)CC3=CC=CC=N3,15820490,representative
156652,C1CN(C(=O)N1C2=CC(=C(C=C2)C=O)OC(F)F)C3=CC(=C(C=C3)Cl)F,177176158,representative
51302,CC1CN(CC(O1)C)C2=C(C=C(C=C2F)C(=O)C)C=O,72443329,representative
191226,CN(C1=CC=CC=C1)C2=C(C=C(C=C2F)C=O)F,63051883,representative
105276,CC1=CC(=C2C(=C1)NC(=N2)C3=C(C(=C(C(=C3F)F)C4=CC=C(C=C4)F)F)F)C=O,144067770,representative
211173,C1=C(C=C(C=C1OC2=CC(=CC(=C2)Cl)Cl)F)C=O,106529547,representative
180729,C1CN(CCN1CCOC2=CC=CC(=C2)C=O)C3=C(C=C(C=N3)C(F)(F)F)Cl,1473896,representative
73417,CC(C)(C)OC(=O)N1CCC(C(C1)F)OC2=CC=CC=C2C=O,89650378,representative
168391,CCCCC1=C(C(=CC(=C1)C=O)C(=O)OCC)O,102175187,representative
214681,CC1=C(N(N=C1C)C2=C(C(=CC=C2)F)C=O)C,108302430,representative
212841,C1=CC(=C(C=C1C=O)F)OCC2=CSC(=N2)C(=O)NN,107693733,representative
55678,C1CCN(CC1)CC2=NC(=CC=C2)C3=C(C=C(C=C3)C=O)F,87165821,representative
254938,C1=CC(=C(C(=C1C=O)C#N)C(F)(F)F)C(=O)CCl,171013283,representative
178028,CCOC1CCC2=C(O1)C=C(C(=C2O)C=O)C,154707835,representative
135923,CCNC1=CC(=NC2=C1C(=CN2)C(F)(F)F)NC3=C(C=C(C=C3)C=O)OC,170385572,representative
83015,C1=CC2=C(C=C1COC3=CC(=CC(=C3)C=O)OC(F)(F)F)OC(O2)(F)F,122476027,representative
120549,CC(C)C[C@@H](C(=O)NC1(CC1)C#N)N[C@@H](C2=CC3=C(C=C2)C4=C(O3)C=CC(=C4)C=O)C(F)(F)F,156807151,representative
287868,C1=CC2=C(C=C1C=O)SC(=N2)Cl,18983155,representative
236256,C1=CC(=C(C=C1S(=O)(=O)N)C=O)C(F)(F)F,131466180,representative
88224,C1=C(C=C(C(=C1C=O)Cl)Cl)C(C(F)(F)F)Br,130236443,representative
39869,C1=CN(C(=O)C=C1C(F)(F)F)C2=C(C=C(C=C2Cl)C=O)Cl,19996515,representative
39262,C1=CC=C(C=C1)COC2=C(C(=C(C=C2C=O)F)OCC3=CC=CC=C3)F,18942322,representative
215917,C1=CC(=C(C=C1C2=CC(=C(C=C2)Cl)C=O)Cl)F,108392341,representative
228363,C1=CC2=C(C=C(C=C2)C=O)C(=C1)OC(F)F,118847133,representative
46340,C1CCC2=CC(=C(C=C2C1)C=O)OS(=O)(=O)C(F)(F)F,57576199,representative
26212,COC1=CC(=C(C(=C1)OCC=C)C=O)OC,11775711,representative
215955,CC1=CC(=C(C=C1F)C2=C(C=C(C=C2)C=O)Cl)F,108396315,representative
253183,C1=CC(=C(C=C1C=O)C(F)(F)F)C(C(C(=O)O)O)O,170824828,representative
24575,C[C@H](C1=C(C=C(C=C1)C(=O)C(C)C)C=O)F,132471774,representative
254688,COC(=O)CC1=C(C(=CC(=C1)C=O)OC(F)F)Br,171010583,representative
36451,C1=CC=C(C=C1)C(=O)OCCN(CCOC(=O)C2=CC=CC=C2)C3=CC=C(C=C3)C=O,103125,representative
213268,C1=C(C=C(C(=C1Br)OCC(F)F)Br)C=O,107738089,representative
282288,CCOC(=O)COC1=C(C=CC(=C1)C=O)OCC(C)C,17816557,representative
122419,CCNC1=NC(=NN1C2=CC=C(C=C2)OC(F)(F)F)C3=CC=CC=C3C=O,159928119,representative
42778,CC(=CCCOC1=C(C=C(C=C1)C2=C(C=C(C(=C2C=O)OC)C3=CC=C(C=C3)F)OC)F)C,23538362,representative
230134,COC(=O)C#CC1=C(C=CC(=C1)C=O)F,122242933,representative
163080,CC(C)(C)OC(=O)N1CCC2=CN(C3=CC(=C(C1=C23)C=O)OC)C,11450337,representative
18051,CC1CCC(=O)C(C1(C)CC/C(=C/CC2=C(C=C(C(=C2O)C=O)C)O)/C)C,56670769,representative
116635,CC1=C(C=CC=C1C2=C(C(=CC=C2)Br)F)C=O,155308508,representative
207587,CCN(CC)C(=O)C(C)OC1=C(C=C(C=C1)C=O)F,103850000,representative
33248,C1CC(=O)N(C1=O)NC(=O)C2=C(C=C(C=C2)C=O)S(=O)(=O)O,90409085,representative
206881,COC1=C(C=CC(=C1)C=O)OCC2=C(C(=CC=C2)Cl)F,102846310,representative
95022,C1=CC(=CC=C1OCC(F)(F)F)OC2=CC(=C(C=C2C=O)Cl)Cl,138748306,representative
230136,CC(C)(C#CC1=C(C=CC(=C1)C=O)F)O,122243011,representative
