index,SMILES,MW,PubChem_CID,reject_reason
62560,COC1=C(C=C(C(=C1)C(=O)N2CC(C[C@H]2C=O)F)[N+](=O)[O-])OCC3=CC=CC=C3,402.4,87827566,zwitterion_or_nitro
62587,CC1CCN(CC1)C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)N3CCN(CC3)C4=C(C=C(C=C4)CCC=O)F,482.5,87829613,zwitterion_or_nitro
62590,CC1CCCN(C1)C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)N3CCN(CC3)C4=C(C=C(C=C4)CC=O)F,468.5,87830002,zwitterion_or_nitro
62591,CN1CCN(CC1)C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)N3CCN(CC3)C4=C(C=C(C=C4)CCC=O)F,483.5,87830006,zwitterion_or_nitro
62592,C1CN(CCN1C2=C(C=C(C=C2)CCC=O)F)C(=O)C3=C(C=CC(=C3)[N+](=O)[O-])N4CCOCC4,470.5,87830063,zwitterion_or_nitro
62593,C1CCN(C1)C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)N3CCN(CC3)C4=C(C=C(C=C4)CC=O)F,440.5,87830064,zwitterion_or_nitro
62595,CC1CCCN1C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)N3CCN(CC3)C4=C(C=C(C=C4)CC=O)F,454.5,87830364,zwitterion_or_nitro
62597,C1CN(CCN1C2=C(C=C(C=C2)CC=O)F)C(=O)C3=C(C=CC(=C3)[N+](=O)[O-])N4CCOCC4,456.5,87830398,zwitterion_or_nitro
62598,C1CN(CC1CO)C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)N3CCN(CC3)C4=C(C=C(C=C4)CC=O)F,470.5,87830399,zwitterion_or_nitro
62599,C1CCCN(CC1)C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)N3CCN(CC3)C4=C(C=C(C=C4)CC=O)F,468.5,87830659,zwitterion_or_nitro
62601,C1CCN(CC1)C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)N3CCN(CC3)C4=C(C=C(C=C4)CCC=O)F,468.5,87830680,zwitterion_or_nitro
62602,C1CCN(C1)C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)N3CCN(CC3)C4=C(C=C(C=C4)CCC=O)F,454.5,87830893,zwitterion_or_nitro
62603,C1CC(CN(C1)C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)N3CCN(CC3)C4=C(C=C(C=C4)CC=O)F)O,470.5,87830898,zwitterion_or_nitro
62605,CCN(CC)C1=C(C=C(C=C1)[N+](=O)[O-])C(=O)N2CCN(CC2)C3=C(C=C(C=C3)CC=O)F,442.5,87831275,zwitterion_or_nitro
62606,CC1CCCCN1C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)N3CCN(CC3)C4=C(C=C(C=C4)CC=O)F,468.5,87831389,zwitterion_or_nitro
62607,C1CC1CNC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)N3CCN(CC3)C4=C(C=C(C=C4)CC=O)F,440.5,87831390,zwitterion_or_nitro
62611,CC(C)CNC1=C(C=C(C=C1)[N+](=O)[O-])C(=O)N2CCN(CC2)C3=C(C=C(C=C3)CC=O)F,442.5,87832348,zwitterion_or_nitro
62664,C1CC1C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)N3CCN(CC3)C4=C(C=C(C=C4)CC=O)F,411.4,87842291,zwitterion_or_nitro
62676,C1CN(CCN1C2=C(C=C(C=C2)CC=O)F)C(=O)C3=C(C=CC(=C3)[N+](=O)[O-])C4=CC=CC=C4,447.5,87843390,zwitterion_or_nitro
62677,C1CN(CCN1C2=C(C=C(C=C2)CCCC=O)F)C(=O)C3=C(C=CC(=C3)[N+](=O)[O-])F,417.4,87843473,zwitterion_or_nitro
62710,COC1=C(C=CC(=C1)OC2=C(C=C(C=C2)C(F)(F)F)[N+](=O)[O-])C=O,341.24,87845890,zwitterion_or_nitro
63301,C1=CC(=CC=C1C=O)C(C(F)(F)F)N=N,216.16,87892218,reactive_group
63341,COC(=O)C(C=O)[N+]1(CCC(CC1)C2=CC=C(C=C2)F)C(=O)[O-],323.32,87898424,zwitterion_or_nitro
63413,C1CC(C2=C(C1)C(=C(C=C2)C=O)[N+](=O)[O-])NC(=O)C(F)(F)F,316.23,87917183,zwitterion_or_nitro
63417,C1=CC(=C(N=C1)C2=CC(=C(C=C2)CC=O)[N+](=O)[O-])C(F)(F)F,310.23,87918421,zwitterion_or_nitro
63472,C[C@@H]1CN([C@H](C(=C=O)N1CC2=CC=C(C=C2)F)C)COC3=C(C=C(C=C3)[N+](=O)[O-])C=O,427.4,87920501,zwitterion_or_nitro
63473,C[C@H]1CN([C@@H](C(=C=O)N1CC2=CC=C(C=C2)F)C)COC3=C(C=C(C=C3)[N+](=O)[O-])C=O,427.4,87920565,zwitterion_or_nitro
63509,C1CN(CCN1C2=C(C=C(C=C2)CC=O)F)C(=O)C3=C(C=CC(=C3)[N+](=O)[O-])Br,450.3,87925719,zwitterion_or_nitro
63510,C1CN(CCN1C2=C(C=C(C=C2)CC=O)F)C(=O)C3=C(C=CC(=C3Cl)[N+](=O)[O-])Cl,440.2,87925721,zwitterion_or_nitro
63512,C1CN(CCN1C2=C(C=C(C=C2)CC=O)F)C(=O)C3=C(C=CC(=C3)[N+](=O)[O-])C(F)(F)F,439.4,87925732,zwitterion_or_nitro
63515,C1CN(CCN1C2=C(C=C(C=C2)CC=O)F)C(=O)C3=C(C=CC(=C3)[N+](=O)[O-])F,389.4,87925745,zwitterion_or_nitro
63523,CC1=C(C=CC(=C1)F)NC2=C(C=C(C(=C2)[N+](=O)[O-])C=O)C3=C(C(=CC=C3)OCC4COC(O4)(C)C)C,494.5,87928179,zwitterion_or_nitro
63526,C1CN(CCN1C2=CC=C(C=C2)CC=O)C(=O)C3=C(C=CC(=C3)[N+](=O)[O-])F,371.4,87928365,zwitterion_or_nitro
63528,CC1CCN(CC1)C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)N3CCN(CC3)C4=C(C=C(C=C4)CC=O)F,468.5,87928388,zwitterion_or_nitro
63533,C1CCN(CC1)C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)N3CCN(CC3)C4=C(C=C(C=C4)CC=O)F,454.5,87928553,zwitterion_or_nitro
63549,COC1=C(C=C(C=C1)[N+](=O)[O-])C(=O)N2CCN(CC2)C3=C(C=C(C=C3)CC=O)F,401.4,87929636,zwitterion_or_nitro
63730,C1CC2(CCC1(CC(COC3=CC=C(C=C3)F)C=O)N=N)C(=O)C(CC2(C4=CC=CC=C4)N=N)N=N,492.5,87954284,reactive_group
63853,C1C[N+](CC(C1F)CCC=O)(C2=CC=C(C=C2)F)C(=O)[O-],297.3,87964744,zwitterion_or_nitro
64081,COC1=C(C=C(C(=C1)C(=O)N2CC(C[C@H]2C=O)F)[N+](=O)[O-])O,312.25,88001184,zwitterion_or_nitro
64083,C1CN(CCN1CC=O)C2=C(C=C(C=C2)[N+](=O)[O-])F,267.26,88001494,zwitterion_or_nitro
64093,C1CCC(CC1)C(C=O)C2=CC(=C(C=C2)F)[N+](=O)[O-],265.28,88002386,zwitterion_or_nitro
64184,CC1=CC(=C2CCCC2=C1OC3=CC(=C(C(=C3)C4=CC=C(C=C4)F)O)C=O)[N+](=O)[O-],407.4,88019111,zwitterion_or_nitro
64185,CC1=CC(=C2CCCC2=C1OC3=CC(=C(C(=C3)C4=CC=C(C=C4)F)OC)C=O)[N+](=O)[O-],421.4,88019112,zwitterion_or_nitro
64412,C1=C(C=C(C(=C1[N+](=O)[O-])F)[N+](=O)[O-])C=O,214.11,88059489,zwitterion_or_nitro
64434,C[C@@](C=O)(C(C1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F)Br)O,356.09,88062788,zwitterion_or_nitro
64492,C1=CC(=CC=C1C(CCC=O)C2=CC=C(C=C2)F)[N+](=O)[O-],287.28,88068953,zwitterion_or_nitro
64514,COC1=C(C=C(C=C1)C(C=O)C2=CC(=C(C=C2[N+](=O)[O-])F)F)[N+](=O)[O-],352.25,88071589,zwitterion_or_nitro
64648,CC1=C(C(=C(C(=C1F)F)[N+](=O)[O-])C=O)F,219.12,88098300,zwitterion_or_nitro
64766,C1=CC(=C(C(=C1F)C=O)[N+](=O)[O-])Cl,203.55,88122561,zwitterion_or_nitro
64769,C1=CC(=C(C(=C1[N+](=O)[O-])C(F)(F)F)C=O)F,237.11,88122724,zwitterion_or_nitro
64780,CN(C1CCCC1)C(=O)CCC(C2=C(C=CC(=C2C=O)[N+](=O)[O-])F)O,352.4,88125944,zwitterion_or_nitro
64784,C1COC(CN1)C(CCCCCOC2=C(C(=C(C=C2)F)C=O)[N+](=O)[O-])C(=O)N,397.4,88127166,zwitterion_or_nitro
64796,CN(CC1=CC=CC=C1)C(=O)COC2=CC(=C(C(=C2)F)[N+](=O)[O-])C=O,346.31,88130789,zwitterion_or_nitro
