index,SMILES,PubChem_CID
275616,C1CC(=O)C=CC1C=O,12794100
175604,C1=CC=C(C=C1)C(CC(=O)CC=O)C2=CC=CC=C2,135052732
203418,C1CC(C1CF)C=O,84716006
116246,C1CC(NC(C1N2C(C3=CC(=C(C=C3C2O)F)N4CC5C(C4)C5C=O)O)O)O,155212809
39349,CSC1=CC=CC(=C1C=O)F,19007532
278491,CN1C=CC(=C1C=O)/C(=C\OC)/C(=O)OC,14326191
142234,C1=CC=C(C=C1)COC2=C(C(=C(C(=C2)C=O)F)F)I,174321693
133284,CNCCNC1=CC(=NC=C1C#N)NC(=O)N2C3CC(C3)(C4=C2N=C(C=C4)C=O)F,169567736
226251,C1=C(N=CC(=N1)OC(F)(F)F)C=O,118798299
235238,C1=CC(=C(C=C1C#N)C=O)C(F)(F)F,130882130
31509,C1=CC(=C(C=C1S)C=O)[N+](=O)[O-],54341187
198114,CC1CCC(N(C1)C2=CC(=C(C=C2)C=O)C(F)(F)F)C,81646579
27953,C1=CC(=CC=C1C=O)N=O,11768628
272718,C1=CC=C(C=C1)CO/N=C/C2=CC(=CC=C2)C=O,11195793
203589,CC(C)(C)OC(=O)NCC(C)(C=O)C1=CC=CC=C1F,84730501
83123,C1=CC(=CC(=C1)C=O)/C=C/C2=CC=C(C=C2)F,122476199
166589,C1=CC(=C(C=C1C=O)N=[N+]=[N-])[N+](=O)[O-],86009304
33622,CCOC(=O)/C=C/C1=CC=C(N1C)C=O,122163598
20903,C1C2CC3CC1CC(C2)(C3)C4=CC=C(C=C4)C=O,15355855
178021,COC(=O)C1=CC(=C(C(=C1)I)C=O)I,154707608
200240,C1=CC=C(C(=C1)C(F)(F)F)N2C(=CN=N2)C=O,82363717
20524,CC(CSC1=CC=CC=C1)C=O,11073998
138777,CCOC(=O)/C=C/OC1=C(C=CC(=C1)C(F)(F)F)C=O,172392936
36337,CCOC1=C(C=CC(=C1)C=O)OC(=O)C(F)(F)F,39199906
276852,CSC1=C2C=CC=CC2=C(C3=CC=CC=C31)C=O,13375392
203149,CN1C=C(N=C1C=O)C2=CC=C(C=C2)F,84672147
239290,CCOC(=O)CC1=C(C=C(C=C1C#N)SC(F)(F)F)C=O,134653901
78340,COC(=O)COC1=C(C=C(C=C1)C=O)F,103850154
151059,CN1CC2=C(C=CC(=C2C1C=O)NC3=NC(=NC=C3)C(F)(F)F)C4CCC(CC4)O,175285069
192274,CN1C(=NN=N1)SC2=C(C=C(C=C2)F)C=O,63802517
162845,C/C=C(\C)/C[C@H](C)C=O,11228800
272328,C[C@@H]1CC[C@H](N1C(=O)OCC2=CC=CC=C2)C=O,11032197
7490,C1=C(OC(=C1)C(F)(F)F)C=O,7537665
194772,C1=CC(=NC(=C1)F)C2=CN=CC(=C2)C=O,71303550
245774,CC(C)(C)OC(=O)NC(C)(C=O)C1=C(C=C(C=C1)[N+](=O)[O-])F,165678302
63366,C=C1CC(C(C1)C2=CC(=CC=C2)F)C=O,87907046
84092,C1=CC=C(C(=C1)N=NCC=O)F,123159704
25286,C=CCC(CC=C)(C=O)C1=CC=C(C=C1)C(F)(F)F,176434193
178423,COC(=O)/C(=C/C1=CC=CC=C1C=O)/CC=C,155933373
213797,C1=CC(=C(C=C1F)C2=CC(=CC(=C2)F)F)C=O,108257497
281379,CN1CC2=CC=CC=C2CC1C=O,15933732
57666,C1=NC(=NC(=N1)F)C=O,87328144
276530,CN1C(=NC(=N1)C2=CC=CC=C2)C=O,13224143
152801,CC1CCC(N1C2=CC=C(C=C2)F)C=O,175609633
113106,C=C(COC1=CC=CC=C1C=O)CF,152544701
66005,C1=C(C(=C(C(=C1Br)F)Br)Br)C=O,88309299
9810,C/C=C/C=C/C(=O)C1=C(C=C(C(=C1)C=O)OC)O,44566277
221492,CC1=CC2=NC(=C(N2C=C1)C=O)C(F)(F)F,115405083
212696,C/C=C/COC1=C(C=C(C=C1)C=O)F,107689631
20893,CC(=C(C)CCC=O)C,15151927
174929,CC(C)(C)OC(=O)C(=C)C[C@@H](CC1=CC=CC=C1)C=O,135007208
220748,C1=CC2=C(C=C1F)NC3=C2NC(=C3)C=O,115007489
29876,C1=C2C(=C(O1)C=O)O2,20340182
224786,CSC1=C(C=C(C(=C1)F)CCC=O)F,117308124
268969,CC1=CC2=C(C=C1)NC(=C2C=O)Cl,3614179
233241,C1=C(N=C(C(=C1I)C(F)F)CCl)C=O,130087505
273602,CN1C2=CC=CC=C2C(=C1SCC(=O)O)C=O,11543325
178678,COC1=CC=C(C=C1)C/C(=N\O)/C=O,162405096
42376,C1=CC=C(C(=C1)C2=CC(=C(C=C2)C=O)F)F,23005044
189823,C1CC2CC1CN2C3=C(C=C(C=C3)C=O)F,61560891
96280,C1=C(C=C(C(=C1Cl)N2C(=CC(=N2)C=O)C(F)(F)F)Cl)Cl,139675080
163775,CC(=CCN1C=C(C2=CC=CC=C21)C=O)C,12689911
35762,C1CN(CCC1C(=O)NC2C3CC4CC(C3)CC2C4)C5=CC=C(C=C5)C=O,177663153
53638,C1CC2=C3C(=NC=C2F)C=CC(=O)N3C1C=O,86640630
42414,CC1(CC1(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F)C=O,23051258
220562,C1=CC(=C(C=C1Cl)OC2=CC(=CC(=C2)F)F)C=O,114844912
65729,CNC(CCNC1=C(C=C(C=C1)C(=O)O)F)C=O,88276637
199350,COC1=C(C=C(C=C1)C=O)C2=CC(=CC(=C2)F)F,82107195
94899,CC1CCC(C1)COC2=C(C=C(C(=C2)F)C=O)C3CC3,138699949
23604,C1=C(C(=CC(=C1OC(F)F)OC(F)F)[N+](=O)[O-])C=O,170915486
19647,COC1=C(C=CC(=C1)C=O)OCF,135068803
284888,C1CC(=O)N2CNCC(C[N+]2(C1NC(=O)CC3=CC=CC=C3)[O-])C(=O)NC(CC(=O)O)C=O,18465823
171140,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C(=C(C=C3C2)O)C=O)O,129824550
223594,C1=CC2=C(C=C1F)S(=O)(=O)C(=C2)CC=O,117195868
238539,C1=CC(=C(C(=C1Cl)C2=CC(=C(N=C2)C=O)F)Cl)Cl,134638035
250443,CC(=O)SCC=CC1=C(C=C(C=C1)F)C=O,169457071
124338,C1CCN(C1)C2=NN=C(C=C2)NC(=O)C3=CC(=C(C(=C3)F)O)C=O,163229954
19055,CSC1=C(C=C(C=C1)C=O)F,11275257
236605,C1=CC=C(C(=C1)C2=C(C=CN=C2C3=CC=CC=C3F)C=O)F,131870181
232296,C1=C(C(=C(N=C1C(F)F)C=O)C#N)I,130077582
194984,CC(C)(C)OC(=O)N1CCN(CC1)C2=C(C=C3C(=C2)N(C(=CC3=O)C=O)C4CC4)F,71552597
148726,C1=CC(=C(C=C1C(F)(F)F)C=O)N=O,174873175
217903,C1=NN=C(N1C(F)(F)F)C=O,112711985
251806,CC1COC(=O)N1C2=NOC3=C2C=C(C(=C3F)F)C=O,169544895
38142,CC1(CC1(F)F)C=O,14695228
78740,C1=C(C(=CC(=C1F)F)C#N)C=O,117276426
290662,C/C=C/OCOC1=CC=C(C=C1)C=O,19787731
279616,CCCC1=CC=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C=O,14987390
49484,C1=CC=C(C=C1)COC2=C(C=C(C=C2F)CC=O)F,59455550
244067,COC1=CC(=C(C(=C1F)C=O)F)SC,164894493
194079,CC(CC=O)(C1=CC(=CC(=C1)F)F)O,65986687
245885,CC(C)(C)OC(=O)NC(C=O)C1=CC(=C(C=C1F)F)F,165698869
214570,C1CC2CN(CC2C1)C3=C(C(=CC=C3)F)C=O,108302317
194381,C1=CC(=C(C=C1Br)F)N2C=C(N=N2)C=O,66216219
149752,C1=CC2=C(C=C1OC(F)(F)F)N=NN(C2C=O)CCCCBr,175073870
247861,C1=CC(=C(C=C1C=O)OC(F)(F)F)I,168442523
245043,CC(CCF)(C=O)C1=CC=CC=C1,165587951
202882,C1=C(N=CC(=N1)C(F)F)C=O,84650694
245740,CC(C)(C)OC(=O)NC(C=O)C1=C(C=C(C=C1)F)N(C)C,165673766
96596,C1=CC(=C(C(=C1OC(F)(F)F)C=O)OC(F)(F)F)OC(F)(F)F,139966058
186177,C1=CC(=CC=C1C=O)OCC(=O)NC2=CC(=CC(=C2)F)F,41880950
945,C1=C(C=C(C(=C1[N+](=O)[O-])C=O)[N+](=O)[O-])[N+](=O)[O-],69074
236257,CSC1=CC(=C(C=C1)C(F)(F)F)C=O,131466181
153390,C1=CC(=C(C(=C1)OCC2=C(C=C(C=C2)Cl)F)F)C=O,175862936
89383,CC1=NN(C(=C1)C=O)CC2=CC=C(C=C2)F,131584465
35723,C1CN(CCC1C(=O)N2CC3=CC=CC=C3C[C@@H]2CO)C4=CC=C(C=C4)C=O,177662836
140060,C1=C(C(=CO)C(=C(C1=CO)F)C=O)F,173437481
42153,C1=C(C(=C(C(=C1F)F)F)CC=O)F,22667333
135040,CCC1=CC(=CC2=CC(=NN21)C3=C(C=C(C=C3)C4CC4C=O)F)C(=O)N5CCC6=CC=CC=C6[C@H]5C,170110025
43680,C1=CC(=C(C=C1OC(F)(F)F)OC(F)(F)F)C=O,53420118
185701,CC1=CC(=C(N1C2=C(C=CC=C2F)F)C)C=O,28974630
126222,COC1=CC(=CC(=C1OC=C(F)F)OC)C=O,164932509
222915,CC(C)(C)OC(=O)CSC1=C(C=C(C=C1)C=O)F,116687735
58852,C1=CC(=C(C=C1F)F)N2C(=C(C(=N2)Cl)C=O)Cl,87406477
34632,COC1=CC=C(C=C1)C(=NO)C=O,139928680
233145,C1=C(C(=C(N=C1[N+](=O)[O-])C=O)C(F)F)I,130086716
186833,C1CS(=O)(=O)CCN1C2=C(C=C(C=C2)C=O)F,43581616
249274,C1=C(OC(=C1)C2=CC(=C(C(=C2)F)I)F)C=O,169331906
38887,C1=C(OC(=C1)F)C=O,18413346
