index,SMILES,PubChem_CID
85694,CN1CCN(CC1)S(=O)(=O)C(C(C(CC=O)(F)F)(F)F)(F)F,123918173
85946,CC1=C(C(=NC2=C3CN(CC3=NN12)C4=C(C=CC(=C4OC5CC6CCC(C5F)N6)C=O)F)C)Cl,124086380
87921,C[C@H]1[C@H](OC(=O)N1CC(CC2=CN=CC3=CC=CC=C32)C=O)C4=CC(=CC(=C4)F)C(F)(F)F,129273419
90508,C[C@@H]1[C@H](O[C@H]([C@@H]1F)N2C=NC3=C(N=C(N=C32)NC(=O)C(C)C)NC)C=O,134165917
90760,C1C2CC3C1CNC(=O)CC4=CC(=CC=C4)NC5=NC=C(C(=N5)NC3C2C=O)F,134256617
90880,CC1CCC(CC1)OC2=C(C3=C(C=CC(=C3)CN[C@H]4C[C@H](C4(C)C)CC=O)C=C2)C(F)(F)F,134292487
92524,CCO/C=C(/C(CC=O)C(F)F)\C(=O)O,135283294
94625,C1C=CN=C(C1Cl)N2C(=CC(=N2)CN(N)/N=C(/C(F)(F)F)\N)C=O,138577197
94781,C1=C(C=C(C=C1C(F)F)Cl)C2C(C2(Cl)Cl)(CO)C=O,138653289
95887,C1CCC(C1)(C(C=O)C2=CC(=CC3=C2NN=C3)Cl)C(F)(F)F,139528517
97995,CN1C(CC=C2C1=C(C(=C3C2=CC=N3)C(F)(F)F)C=O)CC(F)(F)F,141055441
104549,C/C=C(\C=C/CCC1=CC2=C(C(=C(C(=C2N=C1)O)C=O)CN(C)C)C/C(=N/N)/CNN)/F,143809795
105578,C1C(CN(C1CC=O)C2=CC=C(C=C2)OCC3=CC=CC=C3OC(F)F)C(F)(F)F,144167379
106686,CC1(CCC=CC1C=O)/C=S(\F)/I,144562041
109998,CN(CCC(C=O)C(=O)NCC1=CC(=CC(=C1)Cl)F)C2=CC3=C(C=C2)NC(=C3)S(=C)(=O)N,145649488
112402,CC(CN1CCC1OC2=NC3=C(N2C)N=C(N=C3N4CCOCC4)C5=C(C=CC6=C5C=CN6)F)C=O,149794740
113153,CC(C)(COC)C1CC2=CC(=C(C=C2C3=C(C=C(CN13)C(=O)O)OCC=O)OC)OCC(F)(F)F,152741803
120006,CC(C)C#CC1=C(N=CC(=C1)F)C(CC(C)(C)C=O)(C=CC#N)OC,156632662
125610,C1C(C=C(C=C1Br)C2=CNC(=C2C=O)Cl)C(F)(F)F,164172701
127606,COC1=CC(=C(C(=C1)F)[C@@H]2CNC[C@@]2(C=O)NC(=O)NC3(CC3)C4=NC5=CC=CC=C5S4)F,166656157
127843,CCN(CCC=O)CC1CCC(CC1F)N,166706470
131001,C1=CC(=CC(=C1)CC2=CN=C(N2)C3=C(C=CC(=C3)CC4=C(C5=C(C(=C4F)F)NC=C5)F)F)CCC=O,167505541
135321,C/C=C\C(=C/C=C)\NC1=CC(=CC=C1)N(C)CC2=C(C(=CC(=C2)NC3=CC=NC=C3)F)C=O,170176884
135397,CC(C1=NC=NN1C2=NC=CC=N2)N(CC3CC3)C(=O)C4=CC=CC(=C4)C(C(C=O)C(F)(F)F)O,170203301
141418,C1CCOC(C1)N=CC(=C(C(F)(F)F)N)C2=CC3=C(C=CC(=N3)C=O)N=C2,174100593
144287,CC1=CC(=CC2=C1C(N(C2)CC3=CC=C(C=C3)OC(F)(F)F)C=O)C4=CN(N=C4)CC5=CC=CC=N5,174526612
149684,CC1=NN=C(S1)N2CC[C@H]([C@H](C2)F)C=O,175056147
151825,CC1C(=CC=CC1(/C=C(/C2=CC(=C(C=C2)C(=O)O)OC)\F)C=O)C3=CC=CC=C3C,175404270
153942,COC1=C(C(=C(C=C1)O)C(=O)N2CCN(CC2)C3(CC=NC=C3)C=O)F,176006449
154263,C1CN(CC2=C1C=C3C(=C2)C=C(N3)C=O)CC4(CCOCC4)F,176126022
154706,C1CNC(C2=C1NNC2)(C=O)F,176244767
