id,error,adch_ketC,adch_ketO,adch_carbC,adch_hydO,adch_hydH,adch_fukui_plus_ketC,adch_fukui_minus_ketC,adch_fukui_plus_carbC,adch_fukui_minus_carbC,qtaim_rho_CO_ket,qtaim_lap_CO_ket,qtaim_ell_CO_ket,qtaim_rho_CC_new,qtaim_lap_CC_new,qtaim_ell_CC_new,qtaim_rho_HB,ald_adch_CHO_C,ald_adch_CHO_O,ald_adch_fukui_plus_CHO_C,ald_adch_fukui_minus_CHO_C,ald_adch_fukui_minus_CHO_O,ald_qtaim_lap_CO,ald_qtaim_ell_CO
122668,,0.207976,-0.338317,0.00772,-0.550877,0.424266,0.256566,0.035836,0.02307,0.024961,0.395756,-0.10468,0.11755,0.233968,-0.352026,0.03538,,0.101449,-0.31721,0.260877,0.027947,0.110544,-0.026105,0.14006
151243,,0.177853,-0.324125,0.006882,-0.533038,0.42925,0.268883,-0.011574,0.019972,0.015741,0.399324,-0.100747,0.144674,0.239653,-0.377018,0.052274,0.020042,0.094209,-0.28958,0.264285,0.046809,0.179535,0.003158,0.158514
123988,,,,,,,,,,,0.397009,-0.121136,0.135396,0.241916,-0.387237,0.048046,,0.092081,-0.309149,0.05041,0.012588,0.079805,-0.015593,0.153385
1690,,,,,,,,,,,0.39721,-0.134143,0.135299,0.240767,-0.381373,0.045937,,-0.070065,-0.264745,0.014296,-0.042307,0.080258,-0.073426,0.133768
112031,,0.193581,-0.345657,-0.011505,-0.513618,0.405964,0.129174,0.018211,0.007034,0.016443,0.394772,-0.136668,0.126531,0.239343,-0.378044,0.035822,,0.102172,-0.318999,0.15312,0.026251,0.135209,-0.032906,0.152772
