reaction_type,abs_err_delta,abs_err_gxtb
aliph-aliph,2.7091998551787806,3.7384431684154706
aliph-carbo,2.3277091677447133,3.1754940136406975
aliph-hetero,2.37022232638394,3.1325027618288033
carbo-carbo,2.1427852906043148,3.6938121562935584
carbo-hetero,2.073143279553729,3.990858469078107
hetero-hetero,2.0293673259196328,4.3457534528134385
