frac,n_pairs,n_rows,MAE,RMSE,R2,gxtb_MAE
0.25,516,1031,3.0252175110666246,3.9963212228274427,0.7110735187351002,5.189598947441681
0.5,1031,2059,2.9327496106218467,4.052345442754995,0.7709783456353299,5.297348265957821
0.75,1546,3088,2.930379816688814,3.9939457574886963,0.7591088797524286,5.2756871375024375
1.0,2062,4120,2.965275127471178,4.02723481623193,0.7503150367386034,5.334864613276553
