id,donor_id,acceptor_id,pair_key,reaction_type,donor_smiles,acceptor_smiles,smiles,dG_xtb_kcal,dG_gxtb_kcal,dG_pred_correction_mean,dG_pred_correction_std,dG_pred
UJJOCZDMIOIRBL-UHFFFAOYSA-N__SUGXOMZYAXSNCG-FYJGNVAPSA-N,UJJOCZDMIOIRBL-UHFFFAOYSA-N,SUGXOMZYAXSNCG-FYJGNVAPSA-N,SUGXOMZYAXSNCG-FYJGNVAPSA-N__UJJOCZDMIOIRBL-UHFFFAOYSA-N,hetero-hetero,CCN(CC)CCNC1=C2C(=C(C=C1)C=O)SC3=C(C2=O)C=NC=C3,CN(C)/C=N/C1=C(C(=NN1C2=CC(=CC=C2)Cl)C3=CC=CC=C3)C=O,CCN(CC)CCNc1ccc(C(=O)C(O)c2c(-c3ccccc3)nn(-c3cccc(Cl)c3)c2N=CN(C)C)c2sc3ccncc3c(=O)c12,-5.7215,3.8123,6.324609577655792,0.9364182192730335,10.136909577655793
VGHKQVCUYBISDX-UHFFFAOYSA-N__TVCWZIBMYRGODG-XZOQPEGZSA-N,VGHKQVCUYBISDX-UHFFFAOYSA-N,TVCWZIBMYRGODG-XZOQPEGZSA-N,TVCWZIBMYRGODG-XZOQPEGZSA-N__VGHKQVCUYBISDX-UHFFFAOYSA-N,carbo-carbo,COC1=C(C=CC=C1O)C(C=O)F,COC1=CC=C(C=C1)SC[C@](C=O)([C@H](C2=CC=C(C=C2)C3=CC=CC=C3)O)F,COc1ccc(SCC(F)(C(O)C(=O)C(F)c2cccc(O)c2OC)C(O)c2ccc(-c3ccccc3)cc2)cc1,-14.0235,1.1174,2.2430663195438685,0.9363818596065917,3.3604663195438684
RSMCFJFUUFZGGN-UHFFFAOYSA-N__QWWYZZMBZOTNDB-MUMRXTOYSA-N,RSMCFJFUUFZGGN-UHFFFAOYSA-N,QWWYZZMBZOTNDB-MUMRXTOYSA-N,QWWYZZMBZOTNDB-MUMRXTOYSA-N__RSMCFJFUUFZGGN-UHFFFAOYSA-N,carbo-carbo,C1=CC(=CC(=C1)F)C(C2=CC(=CC(=C2)C=O)Br)O,CCCC(C1C[C@H](C2([C@@H](O2)CC)[C@@H](O1)O)O)C(=O)C3=C(C(=C(C(=C3)C(C(C)C)OC)O)C=O)O,CCCC(C(=O)c1cc(C(OC)C(C)C)c(O)c(C(O)C(=O)c2cc(Br)cc(C(O)c3cccc(F)c3)c2)c1O)C1CC(O)C2(OC2CC)C(O)O1,-3.6784,10.9081,1.92255140542984,0.9363785250109794,12.830651405429839
IJCJPSHVQVCGOR-UHFFFAOYSA-N__GTFDVRWJMLDSCL-UHFFFAOYSA-N,IJCJPSHVQVCGOR-UHFFFAOYSA-N,GTFDVRWJMLDSCL-UHFFFAOYSA-N,GTFDVRWJMLDSCL-UHFFFAOYSA-N__IJCJPSHVQVCGOR-UHFFFAOYSA-N,carbo-hetero,CC(C)N1C(=C(C(=N1)C(F)F)C=O)Cl,CC1=CC(=C(C(=C1Br)O)C(=O)C2=C(C(=CC(=C2C=O)O)O)CC=C(C)C)OC,COc1cc(C)c(Br)c(O)c1C(=O)c1c(CC=C(C)C)c(O)cc(O)c1C(O)C(=O)c1c(C(F)F)nn(C(C)C)c1Cl,-2.6126,12.6271,2.1981510922312735,0.936218794863732,14.825251092231273
UGKNBZBRYGZPEZ-UHFFFAOYSA-N__GXMFGYSTXBJFQJ-UHFFFAOYSA-N,UGKNBZBRYGZPEZ-UHFFFAOYSA-N,GXMFGYSTXBJFQJ-UHFFFAOYSA-N,GXMFGYSTXBJFQJ-UHFFFAOYSA-N__UGKNBZBRYGZPEZ-UHFFFAOYSA-N,hetero-hetero,C1=CC(=C(C(=C1)F)N2C=NC(=C2I)I)C=O,CCC1=C(C(=C(C=C1OC)OC)F)COC2=CN=C(C=C2)NC(=O)N3CCCC4=C3N=C(C=C4)C=O,CCc1c(OC)cc(OC)c(F)c1COc1ccc(NC(=O)N2CCCc3ccc(C(O)C(=O)c4cccc(F)c4-n4cnc(I)c4I)nc32)nc1,-13.0062,-1.5768,4.452947986125946,0.9360654370465475,2.8761479861259462
WRIACKRFXQHWMI-ACCUITESSA-N__FFJDVESHRNWCIT-UHFFFAOYSA-N,WRIACKRFXQHWMI-ACCUITESSA-N,FFJDVESHRNWCIT-UHFFFAOYSA-N,FFJDVESHRNWCIT-UHFFFAOYSA-N__WRIACKRFXQHWMI-ACCUITESSA-N,hetero-hetero,CCOC(=O)/C=C/C1=C(C2=C(N1C)C=CC(=C2OCC3=CC=CC=C3)OC)C=O,C1CCC(CC1)OC2=C(C(=CC=C2)F)C3=CC=C(O3)C=O,CCOC(=O)C=Cc1c(C(=O)C(O)c2ccc(-c3c(F)cccc3OC3CCCCC3)o2)c2c(OCc3ccccc3)c(OC)ccc2n1C,-2.3136,2.4366,9.102315390110016,0.9360076764634482,11.538915390110017
SSPSTBIZIPGXDW-UHFFFAOYSA-N__CTOWOTVODWASGA-UHFFFAOYSA-N,SSPSTBIZIPGXDW-UHFFFAOYSA-N,CTOWOTVODWASGA-UHFFFAOYSA-N,CTOWOTVODWASGA-UHFFFAOYSA-N__SSPSTBIZIPGXDW-UHFFFAOYSA-N,hetero-hetero,CN1C(=C(N=N1)C2=NC=C(C=C2)C(F)F)C=O,CC1=C(C=C(O1)C=O)[N+](=O)[O-],Cc1oc(C(O)C(=O)c2c(-c3ccc(C(F)F)cn3)nnn2C)cc1[N+](=O)[O-],-9.1224,7.7503,2.193162739276886,0.9359512202062923,9.943462739276885
XEVWHCCZAACGEZ-UHFFFAOYSA-N__KKKCFCHFRYBHDH-UHFFFAOYSA-N,XEVWHCCZAACGEZ-UHFFFAOYSA-N,KKKCFCHFRYBHDH-UHFFFAOYSA-N,KKKCFCHFRYBHDH-UHFFFAOYSA-N__XEVWHCCZAACGEZ-UHFFFAOYSA-N,carbo-hetero,CC1=C(C(=NN1C2=CC=CC(=C2)C(=O)N(C)C3=CC4=C(C=C3C=O)OCO4)C(F)(F)F)Cl,C1=CC(=CC=C1COC2=CC(=C(C=C2)F)F)C=O,Cc1c(Cl)c(C(F)(F)F)nn1-c1cccc(C(=O)N(C)c2cc3c(cc2C(=O)C(O)c2ccc(COc4ccc(F)c(F)c4)cc2)OCO3)c1,-9.5322,2.654,3.4712579548358917,0.9357633765221602,6.125257954835892
AOHOQZPDLJHDRM-UHFFFAOYSA-N__BJTWIMGDHNSIDG-UHFFFAOYSA-N,AOHOQZPDLJHDRM-UHFFFAOYSA-N,BJTWIMGDHNSIDG-UHFFFAOYSA-N,AOHOQZPDLJHDRM-UHFFFAOYSA-N__BJTWIMGDHNSIDG-UHFFFAOYSA-N,carbo-hetero,C1=CC=C(C=C1)N2C=C(C(=N2)C3=CC=CC=N3)C=O,CN(CCOC1=C(C=C(C=C1)OC)C=O)CC2=CC=CC=C2,COc1ccc(OCCN(C)Cc2ccccc2)c(C(O)C(=O)c2cn(-c3ccccc3)nc2-c2ccccn2)c1,-7.7775,4.0017,4.8006928086280825,0.9354343130982113,8.802392808628081
ODNGZFVJCHGSBG-UHFFFAOYSA-N__NWALAJFCAVSTSH-UHFFFAOYSA-N,ODNGZFVJCHGSBG-UHFFFAOYSA-N,NWALAJFCAVSTSH-UHFFFAOYSA-N,NWALAJFCAVSTSH-UHFFFAOYSA-N__ODNGZFVJCHGSBG-UHFFFAOYSA-N,hetero-hetero,C1=CC(=C(N=C1)N)C2=NC3=C(N2C4=CC=C(C=C4)CNCCC5=C(C(=C(C=C5)C=O)O)F)N=CC=C3,CC1=CC(=C(C2=C1C=C(O2)C=O)C)F,Cc1cc(F)c(C)c2oc(C(O)C(=O)c3ccc(CCNCc4ccc(-n5c(-c6cccnc6N)nc6cccnc65)cc4)c(F)c3O)cc12,-9.3157,4.4676,0.33902510199695823,0.9353510523039388,4.806625101996958
