id,donor_id,acceptor_id,pair_key,reaction_type,donor_smiles,acceptor_smiles,smiles,dG_xtb_kcal,dG_gxtb_kcal,dG_pred_correction_mean,dG_pred_correction_std,dG_pred
IBQQBCRQZULEFR-UHFFFAOYSA-N__ATYUEOYJIQYTAG-UHFFFAOYSA-N,IBQQBCRQZULEFR-UHFFFAOYSA-N,ATYUEOYJIQYTAG-UHFFFAOYSA-N,ATYUEOYJIQYTAG-UHFFFAOYSA-N__IBQQBCRQZULEFR-UHFFFAOYSA-N,carbo-hetero,CC(C)C(C(C(F)(F)F)O)NC(=O)CN1C=C2C(=C3C=CC(=O)C(=C3N2)C=O)C=C1C4=CC=CC=C4,CC=CC(C=O)C1=CC=CC=C1,CC=CC(c1ccccc1)C(O)C(=O)c1c(=O)ccc2c1[nH]c1cn(CC(=O)NC(C(C)C)C(O)C(F)(F)F)c(-c3ccccc3)cc12,-8.1505,8.4354,-6.126787404716015,4.517770471537717,2.308612595283985
NXDHWWORWZQVSF-OXGAQCCNSA-N__UWWCWKTYRPTIGX-UHFFFAOYSA-N,NXDHWWORWZQVSF-OXGAQCCNSA-N,UWWCWKTYRPTIGX-UHFFFAOYSA-N,NXDHWWORWZQVSF-OXGAQCCNSA-N__UWWCWKTYRPTIGX-UHFFFAOYSA-N,aliph-hetero,C[C@@H](CC(=O)N[C@H]([C@H](C=O)O)[C@@H]([C@@H](C)O)O)O,C1=C(C(=C(C(=N1)Br)CCl)C(F)F)C=O,CC(O)CC(=O)NC(C(O)C(=O)C(O)c1cnc(Br)c(CCl)c1C(F)F)C(O)C(C)O,-17.7049,0.3613,-7.266356517374516,4.330953277999164,-6.905056517374516
SAAGGNAOVQQTPV-UHFFFAOYSA-N__DWQFNASLSQWXFY-UHFFFAOYSA-N,SAAGGNAOVQQTPV-UHFFFAOYSA-N,DWQFNASLSQWXFY-UHFFFAOYSA-N,DWQFNASLSQWXFY-UHFFFAOYSA-N__SAAGGNAOVQQTPV-UHFFFAOYSA-N,carbo-carbo,CN(CC(=O)NC1=CC=CC=C1C(F)(F)F)C(=O)COC2=CC=C(C=C2)C=O,CN(C)C1=C(C=CC(=C1)CCC(=O)OF)OCCC=O,CN(CC(=O)Nc1ccccc1C(F)(F)F)C(=O)COc1ccc(C(=O)C(O)CCOc2ccc(CCC(=O)OF)cc2N(C)C)cc1,-8.9284,6.9542,-7.441235799342394,4.11900203360792,-0.4870357993423937
LHSLMJMLMXNFAV-UHFFFAOYSA-N__PWPCWUQJEKPQBE-UHFFFAOYSA-N,LHSLMJMLMXNFAV-UHFFFAOYSA-N,PWPCWUQJEKPQBE-UHFFFAOYSA-N,LHSLMJMLMXNFAV-UHFFFAOYSA-N__PWPCWUQJEKPQBE-UHFFFAOYSA-N,hetero-hetero,CCC1=NC(=C2N1CCN(C2CCC3=CC=C(C=C3)C(F)(F)F)C(=O)O)C=O,C1CCC(C1)N2C=C(C(=N2)C3=CC(=C(C=C3)C#N)F)C=O,CCc1nc(C(=O)C(O)c2cn(C3CCCC3)nc2-c2ccc(C#N)c(F)c2)c2n1CCN(C(=O)O)C2CCc1ccc(C(F)(F)F)cc1,-10.2887,3.707,-1.7242125585675239,3.846958078986205,1.982787441432476
IODYCYMGNDCNBZ-UHFFFAOYSA-N__VOBWVRSTTZYEMB-UHFFFAOYSA-N,IODYCYMGNDCNBZ-UHFFFAOYSA-N,VOBWVRSTTZYEMB-UHFFFAOYSA-N,IODYCYMGNDCNBZ-UHFFFAOYSA-N__VOBWVRSTTZYEMB-UHFFFAOYSA-N,carbo-carbo,COC1=CC(=C(C(=C1)OC)C=O)CCNC(=O)C(F)(F)F,CC1=CC(=CC(=C1OS(=O)(=O)C(F)(F)F)C=O)OC,COc1cc(CCNC(=O)C(F)(F)F)c(C(=O)C(O)c2cc(OC)cc(C)c2OS(=O)(=O)C(F)(F)F)c(OC)c1,-5.0824,27.9951,-2.6204415904183405,3.5670544891367526,25.37465840958166
DBJMLYYBVRNGDJ-UHFFFAOYSA-N__JOSRDHYNXQRNCP-UHFFFAOYSA-N,DBJMLYYBVRNGDJ-UHFFFAOYSA-N,JOSRDHYNXQRNCP-UHFFFAOYSA-N,DBJMLYYBVRNGDJ-UHFFFAOYSA-N__JOSRDHYNXQRNCP-UHFFFAOYSA-N,carbo-hetero,C1=C(C(=CC(=C1S(=O)(=O)F)[N+](=O)[O-])F)C=O,CN1CCN(C(=O)C1)CC2=CC3=C(N=C2C=O)N(C4CC3(C4)F)C(=O)NC5=NC=C(C(=C5)OC)C#N,COc1cc(NC(=O)N2c3nc(C(O)C(=O)c4cc(S(=O)(=O)F)c([N+](=O)[O-])cc4F)c(CN4CCN(C)CC4=O)cc3C3(F)CC2C3)ncc1C#N,-20.0936,6.9048,1.4029166326858102,2.9013741211961466,8.30771663268581
TWQASIHSAJIEFQ-UHFFFAOYSA-N__ZHJKVXOTASUSMY-UHFFFAOYSA-N,TWQASIHSAJIEFQ-UHFFFAOYSA-N,ZHJKVXOTASUSMY-UHFFFAOYSA-N,TWQASIHSAJIEFQ-UHFFFAOYSA-N__ZHJKVXOTASUSMY-UHFFFAOYSA-N,carbo-carbo,B(C1=C(C=C(C=C1)C(=O)NCCCCCNC(=O)C(F)(F)F)CNC2=CC=CC=C2C=O)(O)O,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)NC(CC=O)O,O=C(NCCCCCNC(=O)C(F)(F)F)c1ccc(B(O)O)c(CNc2ccccc2C(=O)C(O)CC(O)Nc2ccc(F)c(F)c2Nc2ccc(I)cc2F)c1,-9.1395,12.4476,-6.274447387456894,2.894974167307483,6.173152612543106
JCVXZPYOXBBCFV-UHFFFAOYSA-N__NHBCRQBMJKNVMS-FGNSBMJPSA-N,JCVXZPYOXBBCFV-UHFFFAOYSA-N,NHBCRQBMJKNVMS-FGNSBMJPSA-N,JCVXZPYOXBBCFV-UHFFFAOYSA-N__NHBCRQBMJKNVMS-FGNSBMJPSA-N,aliph-carbo,C1=CC(=C(C=C1C2=CC(=C(C=C2F)F)[N+](=O)[O-])C=O)O,C1C2CC3C1[C@H](C2(C=O)OCC(F)(F)S(=O)(=O)O)OS3(=O)=O,O=C(c1cc(-c2cc([N+](=O)[O-])c(F)cc2F)ccc1O)C(O)C1(OCC(F)(F)S(=O)(=O)O)C2CC3C1OS(=O)(=O)C3C2,-12.9086,5.3821,1.202157385647297,2.8328441410246556,6.584257385647297
WRUGGLKUQDCSGP-UHFFFAOYSA-N__TXJHTOHOFHZNTI-UHFFFAOYSA-N,WRUGGLKUQDCSGP-UHFFFAOYSA-N,TXJHTOHOFHZNTI-UHFFFAOYSA-N,TXJHTOHOFHZNTI-UHFFFAOYSA-N__WRUGGLKUQDCSGP-UHFFFAOYSA-N,hetero-hetero,CN(C)CCCNC1=NC(=NC2=CC=CC=C21)C3=C(C4=C(N3)C=CC(=C4)Cl)C=O,C1=C(C(=C(C(=N1)F)C(F)F)C=O)F,CN(C)CCCNc1nc(-c2[nH]c3ccc(Cl)cc3c2C(=O)C(O)c2c(F)cnc(F)c2C(F)F)nc2ccccc12,-16.4003,1.8087,-3.605398528277874,2.6440908519424693,-1.796698528277874
WWTGAXOPYHRLCU-PILWDZAYSA-N__YPCWFMYMKSRCAZ-CRCLSJGQSA-N,WWTGAXOPYHRLCU-PILWDZAYSA-N,YPCWFMYMKSRCAZ-CRCLSJGQSA-N,WWTGAXOPYHRLCU-PILWDZAYSA-N__YPCWFMYMKSRCAZ-CRCLSJGQSA-N,aliph-carbo,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)COC3=CC=CC(=C3)C(F)(F)F)C(=O)N[C@@H](C[C@@H]4CCNC4=O)C=O)C,COC(=O)[C@@H]1C[C@H]1C=O,COC(=O)C1CC1C(O)C(=O)C(CC1CCNC1=O)NC(=O)C1C2C(CN1C(=O)COc1cccc(C(F)(F)F)c1)C2(C)C,-9.1722,-12.2,0.9698436925420537,2.3632969817786202,-11.230156307457946
SFLFCXFDGDAQLB-UHFFFAOYSA-N__WVEQOMSAKJRVDP-UHFFFAOYSA-N,SFLFCXFDGDAQLB-UHFFFAOYSA-N,WVEQOMSAKJRVDP-UHFFFAOYSA-N,SFLFCXFDGDAQLB-UHFFFAOYSA-N__WVEQOMSAKJRVDP-UHFFFAOYSA-N,carbo-hetero,CC(C)CCC1C=C(CN1)C2=C(C(=C(C=C2)O)N(CC=O)S(=O)NC)F,C1=CC(=CC(=C1)NC(=O)C(C=O)(C#N)C2=CC=CN2)C(F)(F)F,CNS(=O)N(CC(=O)C(O)C(C#N)(C(=O)Nc1cccc(C(F)(F)F)c1)c1ccc[nH]1)c1c(O)ccc(C2=CC(CCC(C)C)NC2)c1F,-16.2857,9.5138,-1.3731858254875988,2.3629313394123224,8.1406141745124
CYDVQZSGUUIRNX-UHFFFAOYSA-N__ORSLNRJOHOKAIU-UHFFFAOYSA-N,CYDVQZSGUUIRNX-UHFFFAOYSA-N,ORSLNRJOHOKAIU-UHFFFAOYSA-N,CYDVQZSGUUIRNX-UHFFFAOYSA-N__ORSLNRJOHOKAIU-UHFFFAOYSA-N,carbo-hetero,C1=C(C(=C(C(=N1)[N+](=O)[O-])C=O)C(F)F)Br,CCCCCNC(CC=O)(CC1=CC=CC=C1)CC2=CC=C(C=C2)N3CCOCC3,CCCCCNC(Cc1ccccc1)(Cc1ccc(N2CCOCC2)cc1)CC(O)C(=O)c1c([N+](=O)[O-])ncc(Br)c1C(F)F,-17.6277,-0.8625,-0.339728533080779,2.2493656805029283,-1.202228533080779
NPXRWEXSDDOKAO-UHFFFAOYSA-N__WQTMGJMCPIUINL-UHFFFAOYSA-N,NPXRWEXSDDOKAO-UHFFFAOYSA-N,WQTMGJMCPIUINL-UHFFFAOYSA-N,NPXRWEXSDDOKAO-UHFFFAOYSA-N__WQTMGJMCPIUINL-UHFFFAOYSA-N,carbo-hetero,C=C(CCCCOC1=C(C(=C(C=C1)C2=CC=CC(=C2)C3=CC=C(C=C3)CCCC=O)F)F)C(=O)O,C1=CC(=CC(=C1)NC(=O)C2=CC(=CC=C2)C(F)(F)F)C3=CC=NC4=C(C=NN34)C5=CC=C(O5)C=O,C=C(CCCCOc1ccc(-c2cccc(-c3ccc(CCCC(=O)C(O)c4ccc(-c5cnn6c(-c7cccc(NC(=O)c8cccc(C(F)(F)F)c8)c7)ccnc56)o4)cc3)c2)c(F)c1F)C(=O)O,-5.8343,-5.3156,14.603064584732056,2.247834816141776,9.287464584732056
