rep,random_MAE,random_R2,random_n_test,scaffold_MAE,scaffold_R2,scaffold_n_test,gap
0,2.3372587076051357,0.694294354656112,3776,2.7818083413409265,0.3539145778781425,24952,0.4445496337357908
1,2.2577177060001317,0.7577165079332824,3776,2.3940751329269365,0.4154019541545887,23363,0.13635742692680486
2,2.363671395816736,-1.0686951307748913,3776,2.628677613406459,0.38407279202758404,24566,0.2650062175897232
3,2.2859977682027184,0.7456246043856825,3776,2.393661203716366,0.40987534637219136,23400,0.10766343551364743
4,2.385198953449028,-1.023788865685015,3776,2.522902982014233,0.40874619890095354,24381,0.1377040285652047
