donor_id,acceptor_id,donor_smiles,acceptor_smiles
SRYURSBDJMYTOQ-UHFFFAOYSA-N,AYMIQJQHWDGLAS-APWZRJJASA-N,O=Cc1ccc(-c2ccc(CCC3CCCCC3)c(F)c2)c2cccnc12,Cc1cc(C)nc(N[C@H]2CCCN(c3ccc(-c4ncccn4)c(C=O)c3F)[C@@H]2C)n1
CKRYWJSYCUJWIE-SFHVURJKSA-N,XPGWSOLLMKZDON-UHFFFAOYSA-N,O=Cc1ccc2ccccc2c1N1CCCC[C@H]1CNc1cnc2cc(F)c(F)cc2n1,C=CC(F)(F)Oc1ccc(-c2cc(C=O)cc(OC(F)(F)F)c2)cc1F
HCOMZIZOKFSSEH-UHFFFAOYSA-N,YKZWLIFJZIJNKY-UHFFFAOYSA-N,O=Cc1cc(F)c(OCC(F)F)c(Br)c1,Cc1cc(C=O)c2nn(CC(C)(C#N)NC(=O)c3ccc(OC(F)(F)F)cc3)nc2c1
YLRSSTPFVKTTNC-UHFFFAOYSA-N,SKWADSBDJMOUSL-UHFFFAOYSA-N,COc1ccc(COc2ccc(F)c(OCc3ccccc3)c2C=O)cc1,Cc1nn(-c2ccc(C=O)c(O)c2)nc1-c1ccccc1
UQOITJYNCZIWCB-UHFFFAOYSA-N,LBEDPTYSTFMVDX-UHFFFAOYSA-N,O=Cc1ccc(Oc2ccc(O)cc2)c(C(F)(F)F)c1,CCCc1ccc(-c2c(-c3ccc(C(F)(F)F)cc3)cc(F)c(C=O)c2F)cc1
LSLCGODJKYBTOE-UHFFFAOYSA-N,GTMFIRJLBBXARD-UHFFFAOYSA-N,CC1CCCCCN1c1cccc(F)c1C=O,O=Cc1ccc(F)cc1OCc1ccccc1
GNHLBYCZBGGVDJ-UHFFFAOYSA-N,DCLKRBSBZAEWBK-UHFFFAOYSA-N,CCOC(=O)Cc1cc(C=O)c(C(F)(F)F)cc1C#N,O=Cc1ccc(C(F)(F)F)cc1C1CCC2(CNC2)C1
NCYZGDNAURQEMU-UHFFFAOYSA-N,CTSYMGKKRHIYIH-UHFFFAOYSA-N,CCOC(=O)c1c(C)cc(C=O)c(NC(=O)c2ccccc2F)c1C,O=Cc1ccc(C(F)(F)F)cc1[N+](=O)[O-]
OVSKBSANDITPJP-UHFFFAOYSA-N,KGJSOQLNZOQSQV-UHFFFAOYSA-N,O=Cc1cccc(OC2CCC(F)(F)CC2)c1,Cn1nccc1CCOc1ccc(F)cc1C=O
VFEJCQSLGZGGLT-UHFFFAOYSA-N,CCRDXZGFEZQDRL-QHLKIINSSA-N,CCCN(CC(F)(F)F)c1c(Cl)cccc1C=O,COc1cc(O)cc(C(=O)c2c(O)cc(C)c3c2O[C@@]2(C)OC[C@H](C)[C@H]2C3)c1C=O
IFSVDNYGDIPKEX-UHFFFAOYSA-N,LDVQTLSRHXSKOL-UHFFFAOYSA-N,O=Cc1cc(C=Cc2ccc(OCC3CC3)cc2)cc(F)c1O,CCCCCCCCCOC(=O)CCCCCCCCC(=O)Oc1ccc(C=O)cc1
AGDNIICUNPJAJY-UHFFFAOYSA-N,HPRQXUGJVLNHTE-UHFFFAOYSA-N,O=Cc1cc(-c2cccc(C(=O)NCc3ccccc3)c2)ccc1O,O=Cc1ccc(CC2CCCC2)cc1
LIZIYRVVNJDYTN-UHFFFAOYSA-N,JASFYLCGBIKWNT-ZDUSSCGKSA-N,CC1COCCN1c1ccc(F)cc1C=O,C[C@H](OC(=O)COc1ccc(C=O)cc1)C(=O)NCc1ccc(F)cc1
WWCUSUVBHZIZRX-UHFFFAOYSA-N,AERBPVKCWDAIIB-UHFFFAOYSA-N,COc1cc(OC)c2[nH]c(C(=O)O)cc2c1C=O,CC(=O)Nc1ccccc1Oc1cccc(F)c1C=O
