ald_id,smiles,canon
DFJIAUFCXFHAKB-UHFFFAOYSA-N,Cc1cncc(-c2ccc(C(F)(F)F)cc2C=O)c1,Cc1cncc(-c2ccc(C(F)(F)F)cc2C=O)c1
PPXALYNGJPEUCP-UHFFFAOYSA-N,NC(=O)C1CCCCN1c1cccc(F)c1C=O,NC(=O)C1CCCCN1c1cccc(F)c1C=O
APPXRZUFMHRGGW-UHFFFAOYSA-N,COc1cc(I)c(C=O)cc1O,COc1cc(I)c(C=O)cc1O
LBLUODAMHWQWCR-UHFFFAOYSA-N,COC(OC)c1ccccc1C=O,COC(OC)c1ccccc1C=O
YIZWPZKKYYJJMS-UHFFFAOYSA-N,CCOc1cc(C=O)ccc1OC(=O)c1ccc(Cl)cc1,CCOc1cc(C=O)ccc1OC(=O)c1ccc(Cl)cc1
JAXYYDMECWEUSX-UHFFFAOYSA-N,Cc1cc(C=O)cc(NC(=O)CC(F)(F)F)c1,Cc1cc(C=O)cc(NC(=O)CC(F)(F)F)c1
VUHDYRBGSHBADR-UHFFFAOYSA-N,O=Cc1ccc(-c2noc(-c3cn4cc(C(F)(F)F)cc(Br)c4n3)n2)c(Cl)c1,O=Cc1ccc(-c2noc(-c3cn4cc(C(F)(F)F)cc(Br)c4n3)n2)c(Cl)c1
PVZPKYJUVFDRIB-UHFFFAOYSA-N,COc1c(O)c(Cl)cc(C=O)c1Cl,COc1c(O)c(Cl)cc(C=O)c1Cl
WSRDWPPNYIOPMF-UHFFFAOYSA-N,CC1CN(C(=O)O)Cc2c(OCc3ccccc3)cc(C=O)c(F)c21,CC1CN(C(=O)O)Cc2c(OCc3ccccc3)cc(C=O)c(F)c21
RFROHJRARMZISW-ROUUACIJSA-N,O=Cc1cc([C@@H]2C[C@H]2c2ccc(N3CCCC3)cc2)cc(F)c1O,O=Cc1cc([C@@H]2C[C@H]2c2ccc(N3CCCC3)cc2)cc(F)c1O
BDCMTVHBCWUFLG-UHFFFAOYSA-N,COCCNC(=O)Cc1c(C)c2cc(OC)c(O)c(C=O)c2oc1=O,COCCNC(=O)Cc1c(C)c2cc(OC)c(O)c(C=O)c2oc1=O
PUXGVWIAVAQYSF-UHFFFAOYSA-N,CCOC(=O)c1c(O)cccc1C=O,CCOC(=O)c1c(O)cccc1C=O
TYLUJZMTWWZRGT-UHFFFAOYSA-N,COc1cc(F)c(C(=O)Nc2c(Cl)cc(C=O)cc2Cl)cc1OC1CCCC1,COc1cc(F)c(C(=O)Nc2c(Cl)cc(C=O)cc2Cl)cc1OC1CCCC1
PEYGMVVDJGISOK-UHFFFAOYSA-N,O=Cc1c(O)ccc2cc(-c3ccc(C(=O)NCC4CCCCN4)s3)ccc12,O=Cc1c(O)ccc2cc(-c3ccc(C(=O)NCC4CCCCN4)s3)ccc12
PVQFZQUGKIAVRT-UHFFFAOYSA-N,NC(=O)C=Cc1ccc(C=O)c(F)c1,NC(=O)C=Cc1ccc(C=O)c(F)c1
GEJALCWZQUNGCD-UHFFFAOYSA-N,O=Cc1cc(F)c(OCC2Cc3ccccc3O2)c(F)c1,O=Cc1cc(F)c(OCC2Cc3ccccc3O2)c(F)c1
WVAQQBXSIIARHR-UHFFFAOYSA-N,O=Cc1ccc(Oc2ccc(F)c(Br)c2)c([N+](=O)[O-])c1,O=Cc1ccc(Oc2ccc(F)c(Br)c2)c([N+](=O)[O-])c1
QYGIKDWXTMCEEW-UHFFFAOYSA-N,O=Cc1ccc(F)cc1-c1ccoc1,O=Cc1ccc(F)cc1-c1ccoc1
