w_gnn,mae,config
0.0,2.547449930030179,ensemble_only
0.05,2.514314306259255,blend
0.1,2.4811786824883293,blend
0.15,2.449230427560498,blend
0.2,2.4286874399698966,blend
0.25,2.4172354904401625,blend
0.3,2.4098917146160836,blend
0.35,2.4026851021211573,blend
0.4,2.398685033103931,blend
0.45,2.4044585220236536,blend
0.5,2.412799514244186,blend
0.55,2.4211405064647185,blend
0.6,2.4362138825944637,blend
0.65,2.4532075903766764,blend
0.7,2.4731656206059243,blend
0.75,2.496343227517242,blend
0.8,2.5220021315404026,blend
0.85,2.5476610355635634,blend
0.9,2.5733199395867246,blend
0.95,2.598978843609885,blend
1.0,2.6246373653411865,gnn_only
