reaction_type,abs_err_delta,abs_err_gxtb
aliph-aliph,2.379329031117109,3.551604684915405
aliph-carbo,2.523130200647363,3.4621399073399086
aliph-hetero,2.5804525029628604,3.3931318979492358
carbo-carbo,2.20003568435927,4.05518412580081
carbo-hetero,2.258578703245377,4.377663574144724
hetero-hetero,2.2085557968386116,4.669496520372977
