reaction_type,abs_err_delta,abs_err_gxtb
aliph-aliph,3.6389918607624274,4.94969183192223
aliph-carbo,3.5804406261098602,4.923936458655451
aliph-hetero,3.7509921816498673,5.276138624908897
carbo-carbo,3.0027216572535784,5.653237401798991
carbo-hetero,3.0477405957457493,5.427062022522397
hetero-hetero,2.9644854460616354,5.973203702578321
